#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#separable DMs were read from: /home/julio/Documents/jupyterenvironment/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; maximally entangled DMs were read from: /home/julio/Documents/jupyterenvironment/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/entangled_1.txt;
#Architecture of the MLP: [16, 8, 4, 1]; Number of epochs: 100; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Optimizer: rmsprop; Batch size: 40; Test tolerance: 0.5;
#Sucess rate averaged over every simulation and over every sample in the test set: 99.99249999999999%
#Sample standard deviation for averaged success rate: 0.004328502916721846%
#Epoch	Loss	Loss sample STD	Val. Loss	V.L. sample STD
1	0.555564	0.014961	0.351901	0.027540
2	0.178558	0.021906	0.070777	0.023762
3	0.046185	0.021645	0.033929	0.019109
4	0.027469	0.016100	0.022883	0.013646
5	0.018767	0.011359	0.015905	0.009689
6	0.012915	0.007928	0.010806	0.006640
7	0.008861	0.005482	0.007388	0.004576
8	0.006041	0.003763	0.005052	0.003147
9	0.004114	0.002571	0.003439	0.002153
10	0.002801	0.001754	0.002365	0.001476
11	0.001897	0.001192	0.001627	0.001006
12	0.001284	0.000809	0.001109	0.000697
13	0.000870	0.000549	0.000778	0.000483
14	0.000735	0.000450	0.000672	0.000406
15	0.000664	0.000383	0.000643	0.000342
16	0.000541	0.000297	0.000566	0.000295
17	0.000458	0.000229	0.000476	0.000246
18	0.000413	0.000169	0.000494	0.000233
19	0.000420	0.000012	0.000629	0.000210
20	0.000285	0.000010	0.000356	0.000093
21	0.000193	0.000007	0.000341	0.000134
22	0.000131	0.000005	0.000173	0.000050
23	0.000089	0.000004	0.000153	0.000058
24	0.000061	0.000003	0.000127	0.000057
25	0.000042	0.000002	0.000121	0.000063
26	0.000028	0.000002	0.000069	0.000033
27	0.000020	0.000002	0.000101	0.000061
28	0.000014	0.000001	0.000079	0.000049
29	0.000009	0.000001	0.000043	0.000026
30	0.000006	0.000001	0.000015	0.000007
31	0.000004	0.000000	0.000003	0.000000
32	0.000003	0.000000	0.000002	0.000000
33	0.000002	0.000000	0.000001	0.000000
