#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/jupyterenvironment/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled (n\in(0.1,0.2)) DMs were read from: /home/julio/Documents/jupyterenvironment/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.1, 0.2).txt;
#Architecture of the MLP: [32, 16, 8, 1]; Number of epochs: 100; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Optimizer: rmsprop; Batch size: 40; Test tolerance: 0.5;
#tf.Keras.callbacks.EarlyStopping was used with: metric:val_loss; Epochs patience:10; Minimum improvement:0.001;
#Sucess rate averaged over every simulation and over every sample in the test set: 96.78000000000002%
#Sample standard deviation for averaged success rate: 0.11333754894120364%
#Same average success rate for supplementary tests: [0.693115, 0.9809899999999999, 0.9928549999999999, 0.992925, 0.992925, 0.97677, 0.9888100000000001, 0.9890100000000001, 0.9890100000000001, 0.9890100000000002]%
#Sample STD for averaged success rate in supplementary tests: [0.002520120004831119, 0.00036909483198767286, 0.0002075390294619519, 0.00020681445488650806, 0.00020681445488650806, 0.00040400291459344686, 0.0002656862717567226, 0.0002642177037974499, 0.0002642177037974499, 0.00026421770379742894]%
#Epoch	Loss	Loss sample STD	Val. Loss	V.L. sample STD
1	0.685859	0.000819	0.679989	0.001319
2	0.668573	0.001906	0.666019	0.001839
3	0.652742	0.002717	0.654085	0.003109
4	0.637719	0.004507	0.638978	0.005918
5	0.619952	0.006950	0.621326	0.007785
6	0.596192	0.009452	0.593761	0.010587
7	0.565609	0.011889	0.560111	0.013362
8	0.527929	0.013797	0.519533	0.014518
9	0.485243	0.015333	0.478964	0.016522
10	0.441934	0.016320	0.431855	0.016045
11	0.399221	0.016412	0.394640	0.014941
12	0.361419	0.015941	0.358604	0.015239
13	0.327647	0.015431	0.327460	0.013923
14	0.298854	0.014699	0.305468	0.014545
15	0.274141	0.013895	0.275363	0.013265
16	0.252919	0.013108	0.259578	0.014285
17	0.235079	0.012576	0.244176	0.013064
18	0.218837	0.011984	0.234180	0.012873
19	0.204531	0.011400	0.214968	0.012711
20	0.192809	0.011152	0.207849	0.011334
21	0.181604	0.011014	0.201106	0.012591
22	0.172659	0.010723	0.191798	0.014000
23	0.163986	0.010477	0.183265	0.011106
24	0.156570	0.010426	0.187435	0.014708
25	0.150231	0.010297	0.174596	0.013158
26	0.143460	0.009975	0.171270	0.010567
27	0.138455	0.009935	0.157975	0.010150
28	0.132686	0.009956	0.164130	0.009083
29	0.128433	0.009920	0.152154	0.008960
30	0.123980	0.009680	0.151490	0.011856
31	0.119761	0.009601	0.147489	0.011645
