#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/entangled_1.txt;
#Architecture of the MLP: [8, 4, 1]; Number of epochs: 151; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 100.0%
#Sample standard deviation for averaged success rate: 0.0%
#Same average success rate for supplementary tests: [0.500075, 0.5009299999999999, 0.51195, 0.5587150000000001, 0.697625, 0.540165, 0.5511050000000001, 0.58844, 0.674, 0.8021250000000001]%
#Sample STD for averaged success rate in supplementary tests: [0.003535056536853406, 0.003529604334057856, 0.00345897526371612, 0.0031570005446230113, 0.0024205873189682707, 0.0033091938049546145, 0.0032650633912299463, 0.0030905530767162044, 0.0026500849043002363, 0.0018926830740380162]%
#Epoch	Loss	Sample STD
1	0.648785	0.008797
2	0.489236	0.025209
3	0.312350	0.035826
4	0.184994	0.034089
5	0.112027	0.027727
6	0.071786	0.021215
7	0.048789	0.016486
8	0.034719	0.013108
9	0.025466	0.010593
10	0.019026	0.008643
11	0.014401	0.007048
12	0.010975	0.005756
13	0.008472	0.004802
14	0.006875	0.004167
15	0.005712	0.003666
16	0.004824	0.003252
17	0.004141	0.002898
18	0.003621	0.002645
19	0.003196	0.002408
20	0.002883	0.002221
21	0.002633	0.002064
22	0.002420	0.001928
23	0.002201	0.001777
24	0.002036	0.001650
25	0.001903	0.001569
26	0.001799	0.001500
27	0.001703	0.001413
28	0.001576	0.001325
29	0.001499	0.001271
30	0.001466	0.001238
31	0.001409	0.001176
32	0.001292	0.001100
33	0.001284	0.001081
34	0.001239	0.001045
35	0.001210	0.001023
36	0.001157	0.000975
37	0.001158	0.000972
38	0.001114	0.000946
39	0.001055	0.000905
40	0.001026	0.000868
41	0.001003	0.000867
42	0.000946	0.000836
43	0.000939	0.000805
44	0.000874	0.000731
45	0.000822	0.000705
46	0.000758	0.000646
47	0.000656	0.000560
48	0.000596	0.000501
49	0.000519	0.000444
50	0.000506	0.000423
51	0.000449	0.000378
52	0.000434	0.000350
53	0.000385	0.000317
54	0.000325	0.000284
55	0.000302	0.000261
56	0.000281	0.000232
57	0.000252	0.000215
58	0.000240	0.000199
59	0.000231	0.000180
60	0.000189	0.000168
61	0.000179	0.000156
62	0.000176	0.000151
63	0.000161	0.000130
64	0.000149	0.000124
65	0.000134	0.000112
66	0.000126	0.000104
67	0.000118	0.000095
68	0.000101	0.000083
69	0.000094	0.000077
70	0.000088	0.000075
71	0.000077	0.000066
72	0.000065	0.000056
73	0.000082	0.000060
74	0.000066	0.000052
75	0.000067	0.000053
76	0.000054	0.000044
77	0.000049	0.000038
78	0.000054	0.000041
79	0.000047	0.000035
80	0.000044	0.000039
81	0.000043	0.000034
82	0.000036	0.000029
83	0.000043	0.000033
84	0.000037	0.000032
85	0.000042	0.000031
86	0.000034	0.000029
87	0.000034	0.000024
88	0.000026	0.000020
89	0.000034	0.000027
90	0.000021	0.000017
91	0.000025	0.000022
92	0.000020	0.000019
93	0.000019	0.000016
94	0.000023	0.000021
95	0.000016	0.000014
96	0.000022	0.000019
97	0.000022	0.000017
98	0.000014	0.000012
99	0.000017	0.000015
100	0.000014	0.000012
101	0.000015	0.000013
102	0.000013	0.000012
103	0.000011	0.000010
104	0.000013	0.000011
105	0.000012	0.000011
106	0.000008	0.000008
107	0.000012	0.000011
108	0.000009	0.000009
109	0.000010	0.000009
110	0.000010	0.000009
111	0.000008	0.000007
112	0.000009	0.000008
113	0.000007	0.000007
114	0.000010	0.000009
115	0.000010	0.000010
116	0.000010	0.000009
117	0.000007	0.000006
118	0.000007	0.000006
119	0.000007	0.000006
120	0.000007	0.000006
121	0.000008	0.000008
122	0.000005	0.000005
123	0.000005	0.000005
124	0.000004	0.000004
125	0.000005	0.000004
126	0.000004	0.000004
127	0.000004	0.000004
128	0.000004	0.000004
129	0.000004	0.000004
130	0.000004	0.000004
131	0.000004	0.000003
132	0.000003	0.000003
133	0.000004	0.000003
134	0.000003	0.000003
135	0.000005	0.000005
136	0.000003	0.000003
137	0.000003	0.000003
138	0.000003	0.000002
139	0.000003	0.000003
140	0.000003	0.000003
141	0.000003	0.000003
142	0.000002	0.000002
143	0.000002	0.000002
144	0.000003	0.000003
145	0.000003	0.000003
146	0.000002	0.000002
147	0.000002	0.000002
148	0.000002	0.000002
149	0.000002	0.000001
150	0.000002	0.000002
151	0.000002	0.000002
