#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/mixed_states/mixed_separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/mixed_states/negativity_(0.3, 0.4).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 80; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 99.985%
#Sample standard deviation for averaged success rate: 0.007067089216934671%
#Same average success rate for supplementary tests: [0.500005, 0.502265, 0.6018100000000001, 0.945365, 0.9999950000000001, 0.993705, 0.991635, 0.9963299999999999, 0.99997, 1.0]%
#Sample STD for averaged success rate in supplementary tests: [0.003535502085807615, 0.003521351798493016, 0.003027777434852172, 0.000984543467171458, 4.999874997111195e-06, 0.00037120566907040416, 0.00048148347713082617, 0.00029457860580837605, 1.4140544544041711e-05, 0.0]%
#Epoch	Loss	Sample STD
1	0.614220	0.007067
2	0.367737	0.016343
3	0.173248	0.015640
4	0.091402	0.013445
5	0.051587	0.010054
6	0.030281	0.006980
7	0.018979	0.004732
8	0.012622	0.003230
9	0.008849	0.002238
10	0.006443	0.001579
11	0.004802	0.001129
12	0.003629	0.000827
13	0.002831	0.000620
14	0.002237	0.000479
15	0.001789	0.000386
16	0.001452	0.000313
17	0.001194	0.000268
18	0.000974	0.000223
19	0.000814	0.000193
20	0.000698	0.000183
21	0.000602	0.000159
22	0.000481	0.000128
23	0.000432	0.000124
24	0.000379	0.000108
25	0.000318	0.000094
26	0.000289	0.000092
27	0.000238	0.000079
28	0.000227	0.000073
29	0.000171	0.000058
30	0.000153	0.000053
31	0.000128	0.000045
32	0.000124	0.000049
33	0.000101	0.000037
34	0.000089	0.000032
35	0.000080	0.000032
36	0.000064	0.000023
37	0.000054	0.000020
38	0.000050	0.000019
39	0.000050	0.000017
40	0.000038	0.000016
41	0.000036	0.000013
42	0.000027	0.000010
43	0.000027	0.000011
44	0.000022	0.000008
45	0.000021	0.000007
46	0.000016	0.000006
47	0.000014	0.000005
48	0.000012	0.000005
49	0.000011	0.000006
50	0.000008	0.000003
51	0.000009	0.000004
52	0.000006	0.000003
53	0.000007	0.000004
54	0.000005	0.000002
55	0.000005	0.000002
56	0.000004	0.000001
57	0.000004	0.000002
58	0.000003	0.000001
59	0.000003	0.000001
60	0.000002	0.000001
61	0.000002	0.000001
62	0.000002	0.000001
63	0.000002	0.000001
64	0.000001	0.000001
65	0.000001	0.000001
66	0.000001	0.000001
67	0.000001	0.000000
68	0.000001	0.000000
69	0.000001	0.000000
70	0.000002	0.000001
71	0.000001	0.000000
72	0.000000	0.000000
73	0.000000	0.000000
74	0.000000	0.000000
75	0.000000	0.000000
76	0.000000	0.000000
77	0.000000	0.000000
78	0.000000	0.000000
79	0.000000	0.000000
80	0.000000	0.000000
