#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.0, 0.1).txt;
#Architecture of the MLP: [128, 64, 32, 16, 8, 1]; Number of epochs: 500; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 94.41%
#Sample standard deviation for averaged success rate: 0.2264960816438121%
#Same average success rate for supplementary tests: [0.9837350000000002, 0.989585, 0.9675450000000001, 0.948235, 0.9430400000000001, 0.98231, 0.9824, 0.9758550000000001, 0.94911, 0.9333750000000002]%
#Sample STD for averaged success rate in supplementary tests: [0.0005127840566456568, 0.0002571991227628721, 0.00036243433715640384, 0.0003895436288145414, 0.0003911239189822031, 0.00039224124591888306, 0.0003918698763620413, 0.00041638437620784125, 0.0004589230817904073, 0.00044545534989490676]%
#Epoch	Loss	Sample STD
1	0.692764	0.000107
2	0.690424	0.000206
3	0.687587	0.000257
4	0.684992	0.000372
5	0.682464	0.000412
6	0.679857	0.000489
7	0.677824	0.000535
8	0.675479	0.000555
9	0.672550	0.000760
10	0.669555	0.001027
11	0.664278	0.001745
12	0.657226	0.002744
13	0.645818	0.004746
14	0.629046	0.007136
15	0.606468	0.009973
16	0.576549	0.013621
17	0.542687	0.016837
18	0.505304	0.019446
19	0.468151	0.020295
20	0.433875	0.019533
21	0.403735	0.018996
22	0.376672	0.017674
23	0.353751	0.016682
24	0.334489	0.015991
25	0.315709	0.015455
26	0.300589	0.015141
27	0.287515	0.014729
28	0.273045	0.013857
29	0.263781	0.013834
30	0.253195	0.013460
31	0.243942	0.013032
32	0.236282	0.012933
33	0.226291	0.012607
34	0.219700	0.011917
35	0.211146	0.012022
36	0.206514	0.011776
37	0.199703	0.011494
38	0.193382	0.010858
39	0.187516	0.010707
40	0.182943	0.010428
41	0.177458	0.010298
42	0.173631	0.009911
43	0.168702	0.009677
44	0.163595	0.009528
45	0.160320	0.009421
46	0.156300	0.009145
47	0.153740	0.009207
48	0.149396	0.008656
49	0.146308	0.008976
50	0.142315	0.008618
51	0.140057	0.008296
52	0.136838	0.008089
53	0.134814	0.007967
54	0.132264	0.007859
55	0.129227	0.007333
56	0.127018	0.007714
57	0.125259	0.007449
58	0.123253	0.007331
59	0.120677	0.007312
60	0.118162	0.006771
61	0.116058	0.007100
62	0.113483	0.006700
63	0.112804	0.007087
64	0.110844	0.006664
65	0.108896	0.006426
66	0.107555	0.006273
67	0.105827	0.006691
68	0.104754	0.006407
69	0.103165	0.006030
70	0.101376	0.006664
71	0.099419	0.005976
72	0.096298	0.005908
73	0.096044	0.006077
74	0.095768	0.005730
75	0.094834	0.005877
76	0.093060	0.005817
77	0.091473	0.005578
78	0.090049	0.005629
79	0.088870	0.005542
80	0.087485	0.005577
81	0.086487	0.005035
82	0.085520	0.005222
83	0.084734	0.004953
84	0.083060	0.005436
85	0.082506	0.004995
86	0.082250	0.004793
87	0.079908	0.004489
88	0.079910	0.005034
89	0.078957	0.004279
90	0.077430	0.004707
91	0.076691	0.004840
92	0.075323	0.004239
93	0.075804	0.004473
94	0.074628	0.004439
95	0.074171	0.004193
96	0.073302	0.004225
97	0.072279	0.004158
98	0.071532	0.004269
99	0.070789	0.004017
100	0.069948	0.003969
101	0.070174	0.004438
102	0.068491	0.004014
103	0.068570	0.003732
104	0.067395	0.003909
105	0.066973	0.004084
106	0.066710	0.003883
107	0.064790	0.003858
108	0.066525	0.003878
109	0.064597	0.003755
110	0.064567	0.003902
111	0.063564	0.004229
112	0.062509	0.003626
113	0.061887	0.003550
114	0.062148	0.003435
115	0.062520	0.003527
116	0.061323	0.003490
117	0.060297	0.003669
118	0.059917	0.003672
119	0.059149	0.003271
120	0.058579	0.003444
121	0.057838	0.003703
122	0.059092	0.003097
123	0.057120	0.003250
124	0.056869	0.003186
125	0.057617	0.003347
126	0.057379	0.003038
127	0.055794	0.002959
128	0.055728	0.003131
129	0.054630	0.002931
130	0.054837	0.003192
131	0.054999	0.002679
132	0.055079	0.003054
133	0.055053	0.003045
134	0.055211	0.003235
135	0.053101	0.003117
136	0.053868	0.003009
137	0.053345	0.003031
138	0.052662	0.003081
139	0.052759	0.002491
140	0.052255	0.002926
141	0.053028	0.003319
142	0.051789	0.003003
143	0.051455	0.002479
144	0.051220	0.002949
145	0.049637	0.002701
146	0.050289	0.002998
147	0.050347	0.002470
148	0.049172	0.002636
149	0.048889	0.002281
150	0.048736	0.002359
151	0.049502	0.002929
152	0.049232	0.002535
153	0.048991	0.002622
154	0.047894	0.002447
155	0.047899	0.002601
156	0.047910	0.002206
157	0.047893	0.002505
158	0.046040	0.002635
159	0.047138	0.002521
160	0.046483	0.002292
161	0.046011	0.002477
162	0.045553	0.002415
163	0.045845	0.002148
164	0.046069	0.002553
165	0.044460	0.002415
166	0.044249	0.002051
167	0.045644	0.002144
168	0.045545	0.002233
169	0.043643	0.001956
170	0.044441	0.002536
171	0.044111	0.002258
172	0.043713	0.002616
173	0.042442	0.001882
174	0.043307	0.002386
175	0.043135	0.002121
176	0.043352	0.002339
177	0.043326	0.002225
178	0.041930	0.002123
179	0.042485	0.002275
180	0.041778	0.002310
181	0.041258	0.001989
182	0.040782	0.002234
183	0.041641	0.002019
184	0.041442	0.002393
185	0.041308	0.002391
186	0.041428	0.002245
187	0.040999	0.002327
188	0.041368	0.001899
189	0.040528	0.002251
190	0.040698	0.002161
191	0.040991	0.002163
192	0.039786	0.002070
193	0.040285	0.001948
194	0.039454	0.001918
195	0.038541	0.001965
196	0.039558	0.001727
197	0.039474	0.001606
198	0.038992	0.001669
199	0.038945	0.001857
200	0.040361	0.002146
201	0.038631	0.001813
202	0.038870	0.002030
203	0.038947	0.001942
