#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.1, 0.2).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 2000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 94.76250000000002%
#Sample standard deviation for averaged success rate: 0.14203308923451388%
#Same average success rate for supplementary tests: [0.67671, 0.9603650000000001, 0.9865450000000001, 0.987685, 0.9877300000000001, 0.9576800000000001, 0.9817950000000001, 0.983485, 0.983525, 0.983525]%
#Sample STD for averaged success rate in supplementary tests: [0.0024920731921434405, 0.0005335525641865046, 0.00028252990770889503, 0.00027412048217888936, 0.0002738108014669625, 0.0005238805970829602, 0.00034183899536184683, 0.0003317947238127697, 0.00033159270008551145, 0.00033159270008552814]%
#Epoch	Loss	Sample STD
1	0.690463	0.000428
2	0.682415	0.000568
3	0.673574	0.000954
4	0.665078	0.001229
5	0.657958	0.001490
6	0.651678	0.001815
7	0.646066	0.002321
8	0.640577	0.002891
9	0.634914	0.003519
10	0.628894	0.004223
11	0.622586	0.005021
12	0.615803	0.005836
13	0.608716	0.006714
14	0.601196	0.007675
15	0.593192	0.008625
16	0.584729	0.009590
17	0.575993	0.010581
18	0.566938	0.011500
19	0.557790	0.012344
20	0.548475	0.013163
21	0.538813	0.013934
22	0.529117	0.014716
23	0.519127	0.015449
24	0.508988	0.016183
25	0.498962	0.016919
26	0.489095	0.017591
27	0.479230	0.018297
28	0.469371	0.019071
29	0.459825	0.019796
30	0.450862	0.020550
31	0.442271	0.021226
32	0.433677	0.021835
33	0.425635	0.022523
34	0.418261	0.023058
35	0.410699	0.023556
36	0.403797	0.024084
37	0.397300	0.024512
38	0.390954	0.024817
39	0.385069	0.025171
40	0.379398	0.025451
41	0.373874	0.025707
42	0.368664	0.025914
43	0.363736	0.026147
44	0.359130	0.026359
45	0.354639	0.026452
46	0.350158	0.026518
47	0.345959	0.026665
48	0.341825	0.026822
49	0.338053	0.026942
50	0.334136	0.027009
51	0.330225	0.027014
52	0.326572	0.027157
53	0.323016	0.027228
54	0.319870	0.027280
55	0.316497	0.027310
56	0.313524	0.027384
57	0.310240	0.027461
58	0.307492	0.027497
59	0.304800	0.027379
60	0.301804	0.027518
61	0.299246	0.027470
62	0.296524	0.027497
63	0.293985	0.027451
64	0.291569	0.027467
65	0.289439	0.027549
66	0.287045	0.027513
67	0.284632	0.027512
68	0.282737	0.027542
69	0.280717	0.027480
70	0.278454	0.027509
71	0.276293	0.027539
72	0.274525	0.027499
73	0.272631	0.027495
74	0.270908	0.027475
75	0.269259	0.027403
76	0.267386	0.027446
77	0.265556	0.027405
78	0.264154	0.027416
79	0.262490	0.027260
80	0.260989	0.027320
81	0.259539	0.027336
82	0.257801	0.027262
83	0.256504	0.027179
84	0.254994	0.027128
85	0.253648	0.027152
86	0.252060	0.027197
87	0.251010	0.027135
88	0.249728	0.027046
89	0.248299	0.027159
90	0.247036	0.027008
91	0.245993	0.027079
92	0.244657	0.026961
93	0.243152	0.026962
94	0.242200	0.026978
95	0.241031	0.026943
96	0.240030	0.026989
97	0.239150	0.026832
98	0.237875	0.026789
99	0.236882	0.026708
100	0.236018	0.026797
101	0.234707	0.026710
102	0.233754	0.026804
103	0.233106	0.026672
104	0.232011	0.026534
105	0.231494	0.026650
106	0.230331	0.026571
107	0.229431	0.026578
108	0.228597	0.026527
109	0.227794	0.026547
110	0.226978	0.026486
111	0.226201	0.026404
112	0.225074	0.026447
113	0.224535	0.026415
114	0.223592	0.026413
115	0.222764	0.026428
116	0.221758	0.026287
117	0.221439	0.026283
118	0.220498	0.026250
119	0.219606	0.026266
120	0.219165	0.026266
121	0.218400	0.026250
122	0.217849	0.026204
123	0.217335	0.026153
124	0.216236	0.026156
125	0.215501	0.026046
126	0.215095	0.026047
127	0.214619	0.026076
128	0.213809	0.026086
129	0.213623	0.025919
130	0.212554	0.025926
131	0.211913	0.025938
132	0.211511	0.025936
133	0.210789	0.025881
134	0.210271	0.025818
135	0.209630	0.025721
136	0.209108	0.025801
137	0.208395	0.025679
138	0.207924	0.025705
139	0.207368	0.025659
140	0.206525	0.025604
141	0.206276	0.025603
142	0.205660	0.025477
143	0.204787	0.025628
144	0.204196	0.025526
145	0.204398	0.025321
146	0.203361	0.025275
147	0.202574	0.025269
148	0.202029	0.025184
149	0.201655	0.025105
150	0.201071	0.025052
151	0.200235	0.025054
152	0.199622	0.025007
153	0.199105	0.024900
154	0.199189	0.024928
155	0.198527	0.024810
156	0.197772	0.024735
157	0.197008	0.024855
158	0.196962	0.024698
159	0.196449	0.024697
160	0.195874	0.024810
161	0.195485	0.024753
162	0.195202	0.024653
163	0.194513	0.024639
164	0.193897	0.024706
165	0.193819	0.024591
166	0.193298	0.024505
167	0.192956	0.024508
168	0.192417	0.024526
169	0.191975	0.024450
170	0.191503	0.024399
171	0.191292	0.024369
172	0.191013	0.024371
173	0.190346	0.024319
174	0.190061	0.024301
175	0.189788	0.024341
176	0.189192	0.024298
177	0.188738	0.024227
178	0.188350	0.024268
179	0.187696	0.024232
180	0.187868	0.024226
181	0.187587	0.024186
182	0.187275	0.024183
183	0.187138	0.024110
184	0.186584	0.024171
185	0.186375	0.024137
186	0.185885	0.024103
187	0.185721	0.024105
188	0.185407	0.024144
189	0.184765	0.024069
190	0.184394	0.024086
191	0.184641	0.024043
192	0.183905	0.024115
193	0.183960	0.024032
194	0.183735	0.024068
195	0.182887	0.024009
196	0.182640	0.024041
197	0.182706	0.023922
198	0.182245	0.024034
199	0.182072	0.023894
200	0.181743	0.024012
201	0.181372	0.023974
202	0.181316	0.023795
203	0.180513	0.023998
204	0.180503	0.024037
205	0.180241	0.023879
