#Tensor product hilbert space dimension: 4; Number of simulations: 1;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.0, 0.1).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 20000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 77.26931732933234%
#Sample standard deviation for averaged success rate: 0.6627261007152097%
#Same average success rate for supplementary tests: [0.7880788078807881, 0.8446844684468446, 0.8567356735673567, 0.8618861886188619, 0.8636363636363636]%
#Sample STD for averaged success rate in supplementary tests: [0.0028898728620849563, 0.002561305700080476, 0.002477417348751357, 0.0024397775668702367, 0.002426730033178703]%
#Epoch	Loss	Sample STD
1	0.693376	0.000000
2	0.691925	0.000000
3	0.691102	0.000000
4	0.690024	0.000000
5	0.689175	0.000000
6	0.688203	0.000000
7	0.687081	0.000000
8	0.686058	0.000000
9	0.685027	0.000000
10	0.684128	0.000000
11	0.683178	0.000000
12	0.682339	0.000000
13	0.681430	0.000000
14	0.680867	0.000000
15	0.680149	0.000000
16	0.679476	0.000000
17	0.678691	0.000000
18	0.678331	0.000000
19	0.677415	0.000000
20	0.677065	0.000000
21	0.676275	0.000000
22	0.675755	0.000000
23	0.675498	0.000000
24	0.674742	0.000000
25	0.674375	0.000000
26	0.673985	0.000000
27	0.673536	0.000000
28	0.672820	0.000000
29	0.672091	0.000000
30	0.672020	0.000000
31	0.671481	0.000000
32	0.671028	0.000000
33	0.670461	0.000000
34	0.669783	0.000000
35	0.669695	0.000000
36	0.669332	0.000000
37	0.668734	0.000000
38	0.668350	0.000000
39	0.668069	0.000000
40	0.667702	0.000000
41	0.667116	0.000000
42	0.667225	0.000000
43	0.666870	0.000000
44	0.666308	0.000000
45	0.666023	0.000000
46	0.665689	0.000000
47	0.665240	0.000000
48	0.665050	0.000000
49	0.665050	0.000000
50	0.664649	0.000000
51	0.664212	0.000000
52	0.663943	0.000000
53	0.663410	0.000000
54	0.662820	0.000000
55	0.662737	0.000000
56	0.662332	0.000000
57	0.661631	0.000000
58	0.661335	0.000000
59	0.661551	0.000000
60	0.661062	0.000000
61	0.660138	0.000000
62	0.659756	0.000000
63	0.659451	0.000000
64	0.658874	0.000000
65	0.658551	0.000000
66	0.658131	0.000000
67	0.657419	0.000000
68	0.657306	0.000000
69	0.656687	0.000000
70	0.656152	0.000000
71	0.655654	0.000000
72	0.654808	0.000000
73	0.654128	0.000000
74	0.654059	0.000000
75	0.653272	0.000000
76	0.652226	0.000000
77	0.651947	0.000000
78	0.651401	0.000000
79	0.650636	0.000000
80	0.649793	0.000000
81	0.649218	0.000000
82	0.648607	0.000000
83	0.647752	0.000000
84	0.647173	0.000000
85	0.646256	0.000000
86	0.645789	0.000000
87	0.645427	0.000000
88	0.644111	0.000000
89	0.643826	0.000000
90	0.643547	0.000000
91	0.642454	0.000000
92	0.641819	0.000000
93	0.641153	0.000000
94	0.640701	0.000000
95	0.639651	0.000000
96	0.638956	0.000000
97	0.638536	0.000000
98	0.637229	0.000000
99	0.636631	0.000000
100	0.635389	0.000000
101	0.635342	0.000000
102	0.633929	0.000000
103	0.633689	0.000000
104	0.632889	0.000000
105	0.632233	0.000000
106	0.631291	0.000000
107	0.630099	0.000000
108	0.629462	0.000000
109	0.628370	0.000000
110	0.627734	0.000000
111	0.627701	0.000000
112	0.626389	0.000000
113	0.625892	0.000000
114	0.625152	0.000000
115	0.625142	0.000000
116	0.623830	0.000000
117	0.623690	0.000000
118	0.622793	0.000000
119	0.622349	0.000000
120	0.621943	0.000000
121	0.620882	0.000000
122	0.620399	0.000000
123	0.620011	0.000000
124	0.618762	0.000000
125	0.618593	0.000000
126	0.617720	0.000000
127	0.617436	0.000000
128	0.616723	0.000000
129	0.616435	0.000000
130	0.615667	0.000000
131	0.614810	0.000000
132	0.614472	0.000000
133	0.613970	0.000000
134	0.613409	0.000000
135	0.611904	0.000000
136	0.611809	0.000000
137	0.611375	0.000000
138	0.610807	0.000000
139	0.609535	0.000000
140	0.609417	0.000000
141	0.608048	0.000000
142	0.608095	0.000000
143	0.607523	0.000000
144	0.607215	0.000000
145	0.606616	0.000000
146	0.605763	0.000000
147	0.605031	0.000000
148	0.604100	0.000000
149	0.603721	0.000000
150	0.602532	0.000000
151	0.601746	0.000000
152	0.601341	0.000000
153	0.600781	0.000000
154	0.599432	0.000000
155	0.599214	0.000000
156	0.599206	0.000000
157	0.597855	0.000000
158	0.597137	0.000000
159	0.596725	0.000000
160	0.596090	0.000000
161	0.595515	0.000000
162	0.594989	0.000000
163	0.594578	0.000000
164	0.593712	0.000000
165	0.592473	0.000000
166	0.591863	0.000000
167	0.591565	0.000000
168	0.590754	0.000000
169	0.590329	0.000000
170	0.590079	0.000000
171	0.589145	0.000000
172	0.588147	0.000000
173	0.587791	0.000000
174	0.586960	0.000000
175	0.585756	0.000000
176	0.585933	0.000000
177	0.585390	0.000000
178	0.584438	0.000000
179	0.583793	0.000000
180	0.582848	0.000000
181	0.582521	0.000000
182	0.581679	0.000000
183	0.581103	0.000000
184	0.580740	0.000000
185	0.580523	0.000000
186	0.579695	0.000000
187	0.579237	0.000000
188	0.578103	0.000000
189	0.578327	0.000000
190	0.577225	0.000000
191	0.576806	0.000000
192	0.576496	0.000000
193	0.574967	0.000000
194	0.575677	0.000000
195	0.574430	0.000000
196	0.574148	0.000000
197	0.573351	0.000000
198	0.572823	0.000000
199	0.572549	0.000000
200	0.572090	0.000000
201	0.571792	0.000000
202	0.571230	0.000000
203	0.570244	0.000000
204	0.569539	0.000000
205	0.569475	0.000000
206	0.568420	0.000000
207	0.567320	0.000000
208	0.567749	0.000000
209	0.566842	0.000000
210	0.565970	0.000000
211	0.565587	0.000000
212	0.565690	0.000000
213	0.565233	0.000000
214	0.564280	0.000000
215	0.563986	0.000000
216	0.563111	0.000000
217	0.563053	0.000000
218	0.562674	0.000000
219	0.561589	0.000000
220	0.561352	0.000000
221	0.560554	0.000000
222	0.560158	0.000000
223	0.560082	0.000000
224	0.559482	0.000000
225	0.558977	0.000000
226	0.558437	0.000000
227	0.557850	0.000000
228	0.557147	0.000000
229	0.557607	0.000000
230	0.556726	0.000000
231	0.555943	0.000000
232	0.556144	0.000000
233	0.555864	0.000000
234	0.555409	0.000000
235	0.554795	0.000000
236	0.554188	0.000000
237	0.553891	0.000000
238	0.553949	0.000000
239	0.553376	0.000000
240	0.553625	0.000000
241	0.552493	0.000000
242	0.552314	0.000000
243	0.552662	0.000000
244	0.552189	0.000000
245	0.552006	0.000000
246	0.551057	0.000000
247	0.550799	0.000000
248	0.550742	0.000000
249	0.551078	0.000000
250	0.550594	0.000000
251	0.550008	0.000000
252	0.549719	0.000000
253	0.549514	0.000000
254	0.549113	0.000000
255	0.549132	0.000000
256	0.548702	0.000000
257	0.548046	0.000000
258	0.548769	0.000000
259	0.548434	0.000000
260	0.547609	0.000000
261	0.547426	0.000000
262	0.547338	0.000000
263	0.547198	0.000000
264	0.546930	0.000000
265	0.546232	0.000000
266	0.546602	0.000000
267	0.546134	0.000000
268	0.545376	0.000000
