#Tensor product hilbert space dimension: 4; Number of simulations: 2;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.1, 0.2).txt;
#Architecture of the MLP: [32, 16, 8, 1]; Number of epochs: 1000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 97.8625%
#Sample standard deviation for averaged success rate: 0.16662539853665803%
#Same average success rate for supplementary tests: [0.71, 0.99215, 0.995475, 0.995475, 0.995475, 0.990075, 0.990875, 0.990875, 0.990875, 0.990875]%
#Sample STD for averaged success rate in supplementary tests: [0.0028040149785619906, 0.00044935384164375533, 0.0003366767273661812, 0.0003366767273661812, 0.0003366767273661812, 0.0005006992298276453, 0.0004798038336132808, 0.0004798038336132808, 0.0004798038336132808, 0.0004798038336132808]%
#Epoch	Loss	Sample STD
1	0.685719	0.002057
2	0.669442	0.002927
3	0.655017	0.001781
4	0.641816	0.000632
5	0.623271	0.000317
6	0.596480	0.000183
7	0.562454	0.001197
8	0.520569	0.002907
9	0.473417	0.003579
10	0.428271	0.004858
11	0.387187	0.004254
12	0.352017	0.002694
13	0.323810	0.002603
14	0.299886	0.002107
15	0.281050	0.001194
16	0.263445	0.001862
17	0.249875	0.000830
18	0.236397	0.000678
19	0.224536	0.000316
20	0.213976	0.000859
21	0.206539	0.000310
22	0.198198	0.002114
23	0.190912	0.000162
24	0.183878	0.002109
25	0.178172	0.001685
26	0.173145	0.001455
27	0.168028	0.000728
28	0.163409	0.001621
29	0.160018	0.001064
30	0.155222	0.001169
31	0.152523	0.001206
32	0.146702	0.001133
33	0.145285	0.001369
34	0.141154	0.001435
35	0.138668	0.000747
36	0.134990	0.000922
37	0.133757	0.000193
38	0.129284	0.000140
39	0.128382	0.000287
40	0.124417	0.001372
41	0.123188	0.000480
42	0.121379	0.001060
43	0.120031	0.000644
44	0.117563	0.001493
45	0.115012	0.000918
46	0.112252	0.001174
47	0.110760	0.000010
48	0.106915	0.001832
49	0.105834	0.002927
50	0.105035	0.003237
51	0.102039	0.002553
52	0.100329	0.001228
53	0.099193	0.002774
54	0.097970	0.003390
55	0.093768	0.002586
56	0.093795	0.002295
57	0.092334	0.002487
58	0.090432	0.003262
59	0.088385	0.002061
60	0.087453	0.003049
61	0.085881	0.003460
62	0.086342	0.003870
63	0.083597	0.004115
64	0.083834	0.003101
65	0.081076	0.004465
66	0.081398	0.004256
67	0.079618	0.004356
68	0.079293	0.003245
69	0.077962	0.003937
70	0.077328	0.003833
71	0.076570	0.004613
72	0.075224	0.003182
73	0.073852	0.003196
74	0.073995	0.003454
75	0.071270	0.003337
76	0.070287	0.003102
77	0.071592	0.003824
78	0.069477	0.003075
79	0.069588	0.002466
80	0.068037	0.002720
81	0.067742	0.001803
82	0.068019	0.003853
83	0.067058	0.001739
84	0.064884	0.002052
85	0.065156	0.002836
86	0.065145	0.001523
87	0.061719	0.002188
88	0.063452	0.002666
89	0.062013	0.002098
90	0.062446	0.001525
91	0.062102	0.001736
92	0.060657	0.002102
93	0.060547	0.001919
94	0.059105	0.002324
95	0.058698	0.000844
96	0.060561	0.000587
97	0.058631	0.001348
98	0.057611	0.001702
99	0.057871	0.000488
100	0.055090	0.000593
101	0.057298	0.000351
102	0.056681	0.001494
103	0.054773	0.000081
104	0.056038	0.000408
105	0.053579	0.000513
106	0.052958	0.000168
107	0.054908	0.000370
108	0.053665	0.000194
109	0.055029	0.000157
110	0.053323	0.000747
111	0.053068	0.001079
112	0.052998	0.000514
113	0.051192	0.000064
114	0.051145	0.000349
115	0.051156	0.000272
116	0.052033	0.000106
117	0.051725	0.000255
118	0.050314	0.000321
119	0.048551	0.000220
120	0.049967	0.000168
121	0.049265	0.000177
122	0.048980	0.000327
123	0.048461	0.000312
124	0.049608	0.000657
125	0.047155	0.000004
126	0.048404	0.000106
127	0.047449	0.000009
128	0.048486	0.000067
129	0.047557	0.000414
130	0.046980	0.000106
131	0.047647	0.000070
132	0.046916	0.001021
133	0.045885	0.001047
134	0.045690	0.000654
135	0.046822	0.000319
136	0.044735	0.001140
137	0.045748	0.000523
138	0.045871	0.000034
139	0.047153	0.000208
140	0.045190	0.001622
141	0.046226	0.000756
142	0.044869	0.001229
143	0.044649	0.000651
144	0.043902	0.000232
145	0.043865	0.000130
146	0.043996	0.000222
147	0.043548	0.001169
148	0.043278	0.001116
149	0.041825	0.000380
150	0.043427	0.001371
151	0.041167	0.000488
152	0.042009	0.000126
153	0.042854	0.000501
154	0.042769	0.001619
155	0.041430	0.000788
156	0.042011	0.000117
157	0.041015	0.000426
158	0.041219	0.000334
159	0.042511	0.000247
160	0.041253	0.001012
161	0.040985	0.000823
162	0.041211	0.000425
163	0.041514	0.000667
164	0.039094	0.001115
165	0.040091	0.000973
166	0.039294	0.000605
167	0.040198	0.000138
168	0.038767	0.000395
169	0.039051	0.000953
170	0.040213	0.000496
171	0.040953	0.000076
172	0.037827	0.000088
173	0.037603	0.000286
174	0.037381	0.001153
175	0.040005	0.000485
176	0.037386	0.000707
177	0.038006	0.000821
178	0.038141	0.000673
179	0.037767	0.000058
180	0.036728	0.001010
181	0.036164	0.001144
182	0.037618	0.000398
183	0.036542	0.000051
184	0.035055	0.000191
185	0.037053	0.000466
186	0.036961	0.000411
187	0.038082	0.000798
188	0.036108	0.001142
189	0.035672	0.000278
190	0.035832	0.000279
191	0.034503	0.000945
192	0.035517	0.000549
193	0.034904	0.000047
194	0.035225	0.000436
195	0.035597	0.000730
196	0.034612	0.000415
197	0.034028	0.000139
198	0.034803	0.000211
199	0.036089	0.000382
200	0.034885	0.000508
201	0.034054	0.001515
202	0.033492	0.000833
203	0.035138	0.000770
204	0.035400	0.001107
205	0.034923	0.000169
206	0.034075	0.000379
207	0.035370	0.000125
208	0.033637	0.000699
209	0.035454	0.000407
210	0.031239	0.000705
211	0.033967	0.000215
212	0.033474	0.000026
213	0.033020	0.000774
214	0.033037	0.000953
215	0.032649	0.000016
216	0.031854	0.000539
217	0.033031	0.000573
218	0.033436	0.000360
219	0.031728	0.000392
220	0.032770	0.000488
221	0.033135	0.001147
222	0.031788	0.000778
223	0.033704	0.001007
224	0.032269	0.000066
225	0.031034	0.000140
226	0.031847	0.000116
227	0.032497	0.000227
228	0.032425	0.000023
229	0.031839	0.000199
230	0.031512	0.000357
231	0.032895	0.000059
232	0.032929	0.000013
233	0.030996	0.000290
234	0.031364	0.000459
235	0.030291	0.000450
236	0.030051	0.000793
237	0.030680	0.000350
238	0.030511	0.001202
239	0.029294	0.000181
240	0.029630	0.000946
241	0.031525	0.000893
242	0.029792	0.000107
243	0.031480	0.000162
244	0.030326	0.000156
245	0.030212	0.000942
246	0.030338	0.000811
247	0.031297	0.000150
248	0.029014	0.001350
249	0.028683	0.000780
250	0.030552	0.000147
251	0.031328	0.000440
252	0.028746	0.000921
253	0.028594	0.000804
254	0.029561	0.001660
255	0.029503	0.000862
256	0.028205	0.000173
257	0.030116	0.000214
258	0.029074	0.000517
259	0.028703	0.000999
260	0.027567	0.000754
261	0.027138	0.000675
262	0.028655	0.000933
263	0.029014	0.000716
264	0.028496	0.000558
265	0.028276	0.000361
266	0.027335	0.000811
267	0.028275	0.000788
268	0.027404	0.000324
269	0.027655	0.000374
270	0.027873	0.000061
271	0.027563	0.000434
272	0.027640	0.000651
273	0.027911	0.000942
274	0.028802	0.000894
275	0.026605	0.001026
276	0.028855	0.000073
277	0.027478	0.001004
278	0.025705	0.000792
279	0.027246	0.001138
280	0.027146	0.000528
281	0.025833	0.000669
282	0.028264	0.000799
283	0.027030	0.000902
284	0.025955	0.000943
285	0.027347	0.000305
286	0.026627	0.000058
287	0.025922	0.000398
288	0.026710	0.000057
289	0.027167	0.000535
290	0.027272	0.000351
291	0.026696	0.000847
292	0.027488	0.000222
293	0.025060	0.001040
294	0.026659	0.000225
295	0.025261	0.000892
296	0.026085	0.000210
297	0.025084	0.000155
298	0.025688	0.000837
299	0.025203	0.000479
300	0.024400	0.000541
301	0.025315	0.000458
302	0.025970	0.000496
303	0.024610	0.000665
304	0.026115	0.000357
