#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.0, 0.1).txt;
#Architecture of the MLP: [64, 32, 16, 8, 1]; Number of epochs: 4000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 87.605%
#Sample standard deviation for averaged success rate: 0.2599826797115525%
#Same average success rate for supplementary tests: [0.96415, 0.97811, 0.98095, 0.9809900000000001, 0.9809, 0.9212050000000002, 0.9376700000000001, 0.9404899999999999, 0.9408850000000001, 0.94096]%
#Sample STD for averaged success rate in supplementary tests: [0.0006653862600024252, 0.00041885724895243643, 0.0004038624456420744, 0.00040401855774208767, 0.00040374434980566576, 0.0007293095356225565, 0.000721247915074973, 0.0007224804461021805, 0.0007224927949467771, 0.0007225399089323747]%
#Epoch	Loss	Sample STD
1	0.692741	0.000060
2	0.690612	0.000140
3	0.688325	0.000234
4	0.686343	0.000323
5	0.684341	0.000433
6	0.682249	0.000511
7	0.680669	0.000520
8	0.678762	0.000567
9	0.677367	0.000565
10	0.675299	0.000642
11	0.673650	0.000628
12	0.671713	0.000690
13	0.669661	0.000793
14	0.667449	0.000986
15	0.664770	0.001194
16	0.661856	0.001559
17	0.658556	0.001861
18	0.654603	0.002327
19	0.650353	0.002860
20	0.645446	0.003304
21	0.639243	0.004052
22	0.633053	0.004722
23	0.625637	0.005453
24	0.617346	0.006399
25	0.609250	0.007214
26	0.599659	0.007989
27	0.590333	0.008518
28	0.580109	0.009275
29	0.568916	0.009859
30	0.558120	0.010070
31	0.545592	0.010649
32	0.532575	0.010882
33	0.519792	0.010960
34	0.506926	0.011002
35	0.492972	0.010956
36	0.481226	0.011224
37	0.468961	0.011533
38	0.457246	0.011692
39	0.447168	0.011880
40	0.435974	0.011841
41	0.425425	0.011829
42	0.416301	0.011647
43	0.408784	0.011700
44	0.398969	0.011700
45	0.391087	0.011155
46	0.383722	0.011262
47	0.377380	0.011150
48	0.369343	0.011100
49	0.363540	0.011079
50	0.356520	0.010721
51	0.350718	0.010940
52	0.345573	0.010305
53	0.339621	0.010150
54	0.334382	0.010376
55	0.330666	0.009861
56	0.325977	0.010211
57	0.320829	0.009612
58	0.316363	0.009735
59	0.313044	0.009418
60	0.307653	0.009265
61	0.304300	0.009291
62	0.301474	0.009084
63	0.296396	0.009185
64	0.293393	0.008895
65	0.290910	0.009039
66	0.287252	0.008808
67	0.283684	0.008900
68	0.280390	0.008589
69	0.278472	0.008664
70	0.275849	0.008650
71	0.272653	0.008455
72	0.270250	0.008738
73	0.267836	0.008609
74	0.265492	0.008509
75	0.263737	0.008372
76	0.260835	0.008494
77	0.259476	0.008394
78	0.255693	0.008343
79	0.253934	0.008197
80	0.251626	0.007951
81	0.250064	0.008163
82	0.248246	0.008620
83	0.245605	0.008119
84	0.245431	0.008122
85	0.243865	0.008287
86	0.241723	0.008282
87	0.239472	0.008394
88	0.236955	0.007926
89	0.235221	0.007914
90	0.234047	0.008082
91	0.232584	0.008037
92	0.230549	0.007760
93	0.229133	0.008117
94	0.227322	0.008035
95	0.227120	0.007949
96	0.224936	0.007647
97	0.223440	0.007587
98	0.221611	0.007627
99	0.219565	0.007684
100	0.218398	0.007640
101	0.216808	0.007812
102	0.214564	0.007697
103	0.214286	0.007384
104	0.213038	0.007386
105	0.210845	0.007687
106	0.210975	0.007349
107	0.209748	0.007299
108	0.207719	0.007583
109	0.206422	0.007150
110	0.204753	0.007340
111	0.204051	0.007436
112	0.203044	0.007344
113	0.201968	0.007498
114	0.200986	0.007425
115	0.199775	0.007663
116	0.199106	0.007167
117	0.197992	0.007159
118	0.196111	0.007067
119	0.195709	0.007026
120	0.195298	0.007339
121	0.193120	0.006779
122	0.192641	0.006780
123	0.191267	0.006902
124	0.191458	0.006963
125	0.189408	0.007045
126	0.188208	0.007048
127	0.186860	0.007134
128	0.186330	0.006794
129	0.185516	0.006891
130	0.186484	0.006762
131	0.184493	0.006801
132	0.184127	0.006718
133	0.181890	0.006565
134	0.181767	0.006496
135	0.180688	0.006198
136	0.180255	0.006440
137	0.179549	0.006252
138	0.178147	0.006617
139	0.178967	0.006426
140	0.176599	0.006711
141	0.175271	0.006034
142	0.175758	0.006380
143	0.174883	0.006210
144	0.174506	0.006217
145	0.172899	0.006183
146	0.172684	0.005823
147	0.171540	0.006109
148	0.170934	0.006260
149	0.170294	0.006191
150	0.169672	0.006136
151	0.169416	0.005708
152	0.168772	0.006089
153	0.168707	0.006235
154	0.166607	0.005983
155	0.166215	0.006254
156	0.166685	0.006148
157	0.165588	0.006146
158	0.164548	0.006105
159	0.164377	0.006055
160	0.163031	0.005955
161	0.162949	0.005972
162	0.163097	0.005835
163	0.162112	0.005752
164	0.161902	0.005978
165	0.161661	0.005934
166	0.160182	0.006022
167	0.159608	0.006030
168	0.159843	0.006009
169	0.159506	0.005586
170	0.157466	0.005559
171	0.157487	0.005776
172	0.157015	0.005683
173	0.156998	0.005958
174	0.156494	0.005604
175	0.154494	0.005693
176	0.154805	0.005856
177	0.154689	0.005497
178	0.153935	0.005755
179	0.153506	0.005852
180	0.154039	0.005446
181	0.152958	0.005883
182	0.150925	0.005519
183	0.152295	0.005507
184	0.151542	0.005664
185	0.150514	0.005661
186	0.150608	0.005494
187	0.148802	0.005586
188	0.149046	0.005630
189	0.150217	0.005912
190	0.148377	0.005564
191	0.148354	0.005483
192	0.147216	0.005781
193	0.146900	0.005617
194	0.147406	0.005585
195	0.146517	0.005697
196	0.145631	0.005731
197	0.145798	0.005605
198	0.145813	0.005641
199	0.144479	0.005578
200	0.144492	0.005453
201	0.144920	0.005533
202	0.143430	0.005555
203	0.143962	0.005574
204	0.143401	0.005650
205	0.143433	0.005622
206	0.142917	0.005459
207	0.141513	0.005522
208	0.141009	0.005460
209	0.140975	0.005632
210	0.141316	0.005596
211	0.139672	0.005518
212	0.139627	0.005272
213	0.139929	0.005272
214	0.138727	0.005484
215	0.138729	0.005516
216	0.138362	0.005550
217	0.138178	0.005247
218	0.137676	0.005859
219	0.136633	0.005227
220	0.138547	0.005974
221	0.136361	0.005747
222	0.136205	0.004907
223	0.136059	0.005389
224	0.135032	0.005209
225	0.136957	0.005619
226	0.134880	0.005381
227	0.134161	0.005287
228	0.133714	0.005223
229	0.133644	0.005277
230	0.134274	0.005292
231	0.133705	0.005379
232	0.132958	0.005356
233	0.132635	0.005312
234	0.131689	0.005468
235	0.132096	0.005002
236	0.132134	0.005144
237	0.131937	0.005230
238	0.131128	0.005275
239	0.130548	0.005556
240	0.130041	0.005220
241	0.130243	0.005039
242	0.130520	0.005159
243	0.129055	0.005084
244	0.129567	0.005416
245	0.129968	0.005607
246	0.128474	0.005215
247	0.127472	0.005249
248	0.127874	0.005171
249	0.127233	0.005204
250	0.127585	0.005085
251	0.126683	0.005496
252	0.126535	0.005152
253	0.126401	0.004714
254	0.126122	0.005235
255	0.126354	0.005283
256	0.125947	0.005054
257	0.124592	0.005403
258	0.125447	0.005198
259	0.124658	0.005114
260	0.125313	0.005217
261	0.123909	0.005172
262	0.124562	0.005089
263	0.123411	0.005102
264	0.123312	0.005017
265	0.122990	0.005319
266	0.122595	0.005049
267	0.123375	0.005041
268	0.123032	0.005081
269	0.121834	0.005217
270	0.121542	0.005343
271	0.120686	0.005298
272	0.121848	0.005045
273	0.120926	0.004975
