#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.1, 0.2).txt;
#Architecture of the MLP: [64, 32, 16, 8, 1]; Number of epochs: 300; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 98.75%
#Sample standard deviation for averaged success rate: 0.06952966992586612%
#Same average success rate for supplementary tests: [0.72794, 0.9954199999999999, 0.9981949999999999, 0.9982449999999999, 0.998245, 0.996915, 0.997175, 0.997175, 0.997175, 0.997175]%
#Sample STD for averaged success rate in supplementary tests: [0.002486597639345779, 0.00017536014370436623, 9.571885263627049e-05, 9.445103890379434e-05, 9.445103890373556e-05, 0.00012786375072711093, 0.00012052372691715522, 0.00012052372691715522, 0.00012052372691715522, 0.00012052372691715522]%
#Epoch	Loss	Sample STD
1	0.682029	0.000934
2	0.654942	0.001549
3	0.622392	0.004504
4	0.552431	0.011579
5	0.432898	0.016993
6	0.308098	0.015903
7	0.224916	0.012750
8	0.174629	0.010960
9	0.141597	0.009428
10	0.119796	0.008909
11	0.102290	0.008494
12	0.088992	0.007775
13	0.078310	0.007234
14	0.071910	0.006929
15	0.063461	0.006577
16	0.058065	0.006024
17	0.053473	0.005187
18	0.048483	0.005161
19	0.044836	0.004737
20	0.041478	0.004424
21	0.039007	0.004197
22	0.036510	0.003826
23	0.034360	0.003911
24	0.033038	0.003752
25	0.030684	0.003342
26	0.028984	0.003279
27	0.027818	0.002887
28	0.027192	0.002807
29	0.025303	0.002813
30	0.024318	0.002612
31	0.022673	0.002497
32	0.022739	0.002333
33	0.020985	0.002422
34	0.020429	0.002316
35	0.020315	0.002456
36	0.019134	0.002054
37	0.018420	0.002038
38	0.018033	0.001880
39	0.017214	0.002008
40	0.017333	0.001733
41	0.016057	0.001912
42	0.015465	0.001617
43	0.015138	0.001692
44	0.013897	0.001463
45	0.014670	0.001553
46	0.014052	0.001367
47	0.014059	0.001496
48	0.014111	0.001630
49	0.013806	0.001604
50	0.013618	0.001540
51	0.012546	0.001379
