#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.1, 0.2).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 2000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: softsign; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 96.89922480620154%
#Sample standard deviation for averaged success rate: 0.11615138377818471%
#Same average success rate for supplementary tests: [0.6712671267126713, 0.9758725872587258, 0.9951395139513951, 0.9952095209520953, 0.9951995199519952]%
#Sample STD for averaged success rate in supplementary tests: [0.0026233378621541574, 0.0004440278578613616, 0.00016100958495769582, 0.00016002437805616028, 0.00016016558661266066]%
#Epoch	Loss	Sample STD
1	0.693663	0.000181
2	0.690847	0.000266
3	0.688640	0.000361
4	0.686144	0.000471
5	0.683304	0.000584
6	0.680251	0.000679
7	0.677134	0.000761
8	0.674188	0.000869
9	0.671500	0.000918
10	0.669172	0.000992
11	0.667112	0.001042
12	0.665243	0.001101
13	0.663491	0.001159
14	0.661692	0.001232
15	0.660154	0.001333
16	0.658515	0.001457
17	0.656826	0.001608
18	0.655146	0.001763
19	0.653322	0.001945
20	0.651613	0.002120
21	0.649817	0.002303
22	0.648070	0.002508
23	0.646360	0.002680
24	0.644358	0.002867
25	0.642594	0.003042
26	0.640873	0.003238
27	0.638909	0.003375
28	0.637045	0.003559
29	0.635192	0.003649
30	0.633298	0.003812
31	0.631362	0.003908
32	0.629535	0.004061
33	0.627647	0.004155
34	0.625765	0.004250
35	0.623785	0.004369
36	0.621771	0.004412
37	0.619774	0.004490
38	0.617709	0.004522
39	0.615677	0.004649
40	0.613428	0.004607
41	0.611375	0.004666
42	0.609203	0.004665
43	0.606955	0.004756
44	0.604696	0.004770
45	0.602157	0.004772
46	0.599734	0.004806
47	0.597192	0.004842
48	0.594690	0.004868
49	0.592177	0.004964
50	0.589426	0.004967
51	0.586852	0.005040
52	0.584081	0.005104
53	0.581101	0.005148
54	0.578226	0.005238
55	0.575352	0.005293
56	0.572382	0.005421
57	0.569383	0.005487
58	0.566340	0.005610
59	0.563086	0.005665
60	0.560072	0.005815
61	0.556870	0.005919
62	0.553605	0.005993
63	0.550264	0.006074
64	0.547071	0.006195
65	0.543612	0.006312
66	0.540492	0.006443
67	0.536998	0.006577
68	0.533530	0.006748
69	0.530164	0.006820
70	0.526603	0.006958
71	0.523444	0.007152
72	0.519879	0.007170
73	0.516340	0.007313
74	0.513118	0.007516
75	0.509480	0.007640
76	0.506270	0.007675
77	0.502671	0.007893
78	0.499348	0.007959
79	0.496005	0.008104
80	0.492482	0.008306
81	0.489194	0.008437
82	0.485825	0.008529
83	0.482286	0.008764
84	0.478976	0.008837
85	0.476023	0.008961
86	0.472673	0.009095
87	0.469442	0.009243
88	0.466212	0.009316
