#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2/input_data/generated/pure_states/negativity_(0.4, 0.5).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 60; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: softsign; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 100.0%
#Sample standard deviation for averaged success rate: 0.0%
#Same average success rate for supplementary tests: [0.5000500050005, 0.5001900190019003, 0.5512701270127012, 0.9168266826682671, 1.0]%
#Sample STD for averaged success rate in supplementary tests: [0.0035357106782053014, 0.0035348263138778625, 0.003272200818944586, 0.0013126934786184543, 0.0]%
#Epoch	Loss	Sample STD
1	0.682409	0.001246
2	0.638145	0.003745
3	0.558824	0.006035
4	0.458151	0.006386
5	0.364783	0.008101
6	0.292031	0.010752
7	0.236475	0.011791
8	0.192156	0.011179
9	0.154775	0.009534
10	0.123558	0.007803
11	0.097586	0.006809
12	0.076010	0.006355
13	0.058394	0.005947
14	0.044200	0.005391
15	0.033133	0.004791
16	0.024541	0.004097
17	0.017996	0.003398
18	0.013123	0.002739
19	0.009564	0.002178
20	0.006908	0.001686
21	0.004972	0.001298
22	0.003584	0.000978
23	0.002596	0.000740
24	0.001860	0.000543
25	0.001332	0.000399
26	0.000955	0.000287
27	0.000679	0.000205
28	0.000481	0.000150
29	0.000333	0.000103
30	0.000243	0.000077
31	0.000171	0.000055
32	0.000128	0.000042
33	0.000089	0.000030
34	0.000067	0.000022
35	0.000052	0.000018
36	0.000038	0.000014
37	0.000027	0.000010
38	0.000020	0.000008
39	0.000015	0.000007
40	0.000010	0.000004
41	0.000009	0.000003
42	0.000007	0.000003
43	0.000005	0.000002
44	0.000006	0.000003
45	0.000003	0.000001
46	0.000003	0.000002
47	0.000004	0.000003
48	0.000001	0.000001
49	0.000001	0.000001
50	0.000001	0.000001
51	0.000001	0.000000
52	0.000001	0.000000
53	0.000000	0.000000
54	0.000000	0.000000
55	0.000000	0.000000
56	0.000000	0.000000
57	0.000000	0.000000
58	0.000000	0.000000
59	0.000000	0.000000
60	0.000000	0.000000
