#Tensor product hilbert space dimension: 4; Number of simulations: 2;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/generated/pure_states/negativity_(0.0, 0.1).txt;
#Architecture of the MLP: [32, 16, 8, 1]; Number of epochs: 1000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: sigmoid; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 59.5125%
#Sample standard deviation for averaged success rate: 0.3891065390810919%
#Same average success rate for supplementary tests: [0.6181618161816181, 0.659015901590159, 0.6876437643764376, 0.7029202920292029, 0.7113961396139614]%
#Sample STD for averaged success rate in supplementary tests: [0.0016976464547833554, 0.0015358950949761914, 0.0014382741228135135, 0.0013762311569853417, 0.0013352366903873257]%
#Epoch	Loss	Sample STD
1	0.693554	0.000046
2	0.693450	0.000005
3	0.693482	0.000078
4	0.693430	0.000121
5	0.693397	0.000010
6	0.693419	0.000057
7	0.693469	0.000018
8	0.693308	0.000029
9	0.693307	0.000003
10	0.693297	0.000012
11	0.693349	0.000030
12	0.693291	0.000097
13	0.693209	0.000132
14	0.693262	0.000012
15	0.693136	0.000061
16	0.693245	0.000012
17	0.693004	0.000046
18	0.693140	0.000023
19	0.693014	0.000032
20	0.693116	0.000031
21	0.693021	0.000078
22	0.692805	0.000107
23	0.693016	0.000096
24	0.693074	0.000076
25	0.692861	0.000016
26	0.693062	0.000024
27	0.693020	0.000103
28	0.693020	0.000050
29	0.693018	0.000002
30	0.692869	0.000104
31	0.693019	0.000083
32	0.692955	0.000065
33	0.693010	0.000045
34	0.692903	0.000095
35	0.692933	0.000009
36	0.692940	0.000123
37	0.692957	0.000094
38	0.692939	0.000024
39	0.692963	0.000082
40	0.692887	0.000087
41	0.692896	0.000115
42	0.693027	0.000073
43	0.692875	0.000126
44	0.692868	0.000069
45	0.692834	0.000050
46	0.692878	0.000121
47	0.692843	0.000143
48	0.692995	0.000061
49	0.692846	0.000056
50	0.692945	0.000024
51	0.692729	0.000167
52	0.692773	0.000091
53	0.692942	0.000099
54	0.692832	0.000108
55	0.692905	0.000008
56	0.692868	0.000036
57	0.692819	0.000070
58	0.692915	0.000080
59	0.692860	0.000019
60	0.692906	0.000009
61	0.692947	0.000049
62	0.692835	0.000004
63	0.692876	0.000074
64	0.692856	0.000105
65	0.692829	0.000002
66	0.692681	0.000166
67	0.692905	0.000042
68	0.692902	0.000070
69	0.692792	0.000013
70	0.692783	0.000054
71	0.692845	0.000129
72	0.692865	0.000119
73	0.692858	0.000094
74	0.692829	0.000124
75	0.692736	0.000108
76	0.692876	0.000051
77	0.692642	0.000008
78	0.692780	0.000066
79	0.692685	0.000062
80	0.692803	0.000131
81	0.692761	0.000140
82	0.692726	0.000170
83	0.692762	0.000141
84	0.692640	0.000116
85	0.692647	0.000014
86	0.692671	0.000167
87	0.692615	0.000193
88	0.692630	0.000161
89	0.692661	0.000120
90	0.692610	0.000070
91	0.692607	0.000135
92	0.692650	0.000070
93	0.692493	0.000062
94	0.692476	0.000256
95	0.692441	0.000127
96	0.692561	0.000196
97	0.692414	0.000087
98	0.692475	0.000149
99	0.692444	0.000112
100	0.692335	0.000255
101	0.692384	0.000225
102	0.692318	0.000180
103	0.692360	0.000188
104	0.692263	0.000214
105	0.692283	0.000245
106	0.692230	0.000189
107	0.692101	0.000186
108	0.692208	0.000268
109	0.692007	0.000132
110	0.692035	0.000263
111	0.691942	0.000261
112	0.691935	0.000319
113	0.691906	0.000257
114	0.691780	0.000346
115	0.691747	0.000299
116	0.691678	0.000313
117	0.691554	0.000368
118	0.691490	0.000346
119	0.691356	0.000364
120	0.691293	0.000371
121	0.691130	0.000319
122	0.691100	0.000450
123	0.690985	0.000400
124	0.690807	0.000432
125	0.690724	0.000418
126	0.690484	0.000588
127	0.690511	0.000547
128	0.690289	0.000529
129	0.690180	0.000464
130	0.690149	0.000523
131	0.689930	0.000450
132	0.689902	0.000414
133	0.689578	0.000590
134	0.689607	0.000405
135	0.689432	0.000422
136	0.689331	0.000259
137	0.689263	0.000400
138	0.689125	0.000356
139	0.689025	0.000306
140	0.689029	0.000130
141	0.688853	0.000125
142	0.688899	0.000260
143	0.688886	0.000068
144	0.688877	0.000104
145	0.688707	0.000170
146	0.688553	0.000033
147	0.688661	0.000126
148	0.688635	0.000027
149	0.688516	0.000014
150	0.688535	0.000005
151	0.688468	0.000037
152	0.688420	0.000015
153	0.688378	0.000173
154	0.688479	0.000014
155	0.688402	0.000022
156	0.688501	0.000027
157	0.688387	0.000084
158	0.688294	0.000003
159	0.688366	0.000036
160	0.688354	0.000008
161	0.688206	0.000001
162	0.688216	0.000104
163	0.688178	0.000030
164	0.688167	0.000017
165	0.688141	0.000017
166	0.688185	0.000043
167	0.688098	0.000005
168	0.688040	0.000037
169	0.688006	0.000110
170	0.688110	0.000022
171	0.688019	0.000089
172	0.687924	0.000062
173	0.687927	0.000029
174	0.687888	0.000005
175	0.687944	0.000025
176	0.687940	0.000089
177	0.687760	0.000082
178	0.687803	0.000054
179	0.687816	0.000123
180	0.687850	0.000012
181	0.687823	0.000024
182	0.687748	0.000021
183	0.687774	0.000091
184	0.687777	0.000054
185	0.687629	0.000015
186	0.687645	0.000052
187	0.687536	0.000001
188	0.687542	0.000059
189	0.687463	0.000056
190	0.687425	0.000148
191	0.687524	0.000094
192	0.687370	0.000112
193	0.687330	0.000013
194	0.687304	0.000042
195	0.687300	0.000216
196	0.687023	0.000086
197	0.687240	0.000061
198	0.687250	0.000005
199	0.687229	0.000044
200	0.687105	0.000113
201	0.687090	0.000001
202	0.687125	0.000010
203	0.687003	0.000025
204	0.686994	0.000056
205	0.686847	0.000113
206	0.686914	0.000006
207	0.686887	0.000114
208	0.686645	0.000288
209	0.686554	0.000104
210	0.686640	0.000140
211	0.686559	0.000115
212	0.686429	0.000159
213	0.686413	0.000171
214	0.686335	0.000161
215	0.686288	0.000081
216	0.686134	0.000218
217	0.686163	0.000235
218	0.685893	0.000129
219	0.685919	0.000208
220	0.685845	0.000289
221	0.685658	0.000260
222	0.685556	0.000377
223	0.685551	0.000386
224	0.685095	0.000416
225	0.685227	0.000591
226	0.684989	0.000500
227	0.684927	0.000645
228	0.684639	0.000570
229	0.684466	0.000607
230	0.684489	0.000764
231	0.684238	0.000756
232	0.684144	0.000944
233	0.683944	0.000906
234	0.683773	0.001065
235	0.683563	0.001090
236	0.683473	0.001051
237	0.683230	0.001078
238	0.683115	0.001270
239	0.682855	0.001270
240	0.682662	0.001278
241	0.682324	0.001000
242	0.682288	0.001420
243	0.682137	0.001366
244	0.681991	0.001299
245	0.681867	0.001402
246	0.681685	0.001313
247	0.681497	0.001418
248	0.681321	0.001287
249	0.681200	0.001375
250	0.681019	0.001372
251	0.680631	0.001473
252	0.680429	0.001379
253	0.680523	0.001368
254	0.680302	0.001348
255	0.680117	0.001168
256	0.679974	0.001212
257	0.679822	0.001279
258	0.679765	0.001253
259	0.679602	0.001146
260	0.679484	0.001183
261	0.679288	0.001193
262	0.679147	0.001144
263	0.679020	0.001111
264	0.678925	0.001167
265	0.678670	0.000940
266	0.678678	0.001132
267	0.678386	0.001039
268	0.678305	0.001028
269	0.678224	0.001042
270	0.677975	0.000940
271	0.677984	0.000932
272	0.677842	0.001021
273	0.677617	0.000892
274	0.677425	0.000951
275	0.677481	0.000843
276	0.677462	0.000693
277	0.677314	0.000798
278	0.677241	0.000599
279	0.676959	0.000585
280	0.676851	0.000402
281	0.676669	0.000721
282	0.676575	0.000601
283	0.676649	0.000452
284	0.676638	0.000350
285	0.676461	0.000411
286	0.676311	0.000383
287	0.676228	0.000263
288	0.676334	0.000206
289	0.676036	0.000186
290	0.675895	0.000414
291	0.675907	0.000125
292	0.675868	0.000299
293	0.675750	0.000015
294	0.675708	0.000132
295	0.675688	0.000104
296	0.675615	0.000018
297	0.675531	0.000056
298	0.675319	0.000041
299	0.675507	0.000095
300	0.675406	0.000061
301	0.675232	0.000011
302	0.675324	0.000071
303	0.675127	0.000168
304	0.675206	0.000269
305	0.675128	0.000202
306	0.674968	0.000096
307	0.675114	0.000187
308	0.674921	0.000075
309	0.674906	0.000302
310	0.674880	0.000151
311	0.674701	0.000286
312	0.674508	0.000049
313	0.674753	0.000231
314	0.674631	0.000250
315	0.674688	0.000269
316	0.674564	0.000412
317	0.674618	0.000398
318	0.674416	0.000379
319	0.674416	0.000463
320	0.674396	0.000549
321	0.674444	0.000545
322	0.674326	0.000543
323	0.674326	0.000522
324	0.674258	0.000649
325	0.673968	0.000651
326	0.674202	0.000515
327	0.673999	0.000514
328	0.674093	0.000777
329	0.673809	0.000836
330	0.673882	0.000793
331	0.673888	0.000717
332	0.673844	0.000734
333	0.673914	0.000724
334	0.673778	0.000808
335	0.673668	0.000826
336	0.673647	0.000916
337	0.673496	0.000869
338	0.673670	0.000750
339	0.673422	0.000798
340	0.673152	0.001094
341	0.673590	0.000770
342	0.673335	0.000862
343	0.673344	0.000977
344	0.673174	0.000964
345	0.673101	0.001136
346	0.673037	0.001038
347	0.673089	0.001104
348	0.673016	0.001242
349	0.672946	0.001052
350	0.673007	0.001313
351	0.672703	0.000878
352	0.672767	0.001168
353	0.672785	0.001161
354	0.672787	0.001272
355	0.672686	0.001163
356	0.672564	0.001317
357	0.672420	0.001316
358	0.672361	0.001167
359	0.672423	0.001493
360	0.672195	0.001544
361	0.672195	0.001572
362	0.672218	0.001486
363	0.672031	0.001439
364	0.672062	0.001580
365	0.671776	0.001582
366	0.671753	0.001577
367	0.671707	0.001526
368	0.671860	0.001639
369	0.671624	0.001831
370	0.671580	0.001613
371	0.671548	0.001603
372	0.671540	0.001678
373	0.671396	0.001726
374	0.671266	0.001805
375	0.671213	0.001913
376	0.671166	0.001823
377	0.671061	0.001875
378	0.671019	0.001996
379	0.670828	0.002061
380	0.670724	0.001909
381	0.670690	0.001992
382	0.670713	0.002070
383	0.670547	0.002119
384	0.670312	0.002234
385	0.670443	0.002354
386	0.670273	0.002191
387	0.670187	0.002371
388	0.669945	0.002333
389	0.669873	0.002335
390	0.669954	0.002527
391	0.669727	0.002531
392	0.669754	0.002700
393	0.669509	0.002436
394	0.669471	0.002657
395	0.669378	0.002501
396	0.669263	0.002470
397	0.669094	0.002699
398	0.669241	0.002779
399	0.668736	0.002999
400	0.668798	0.002918
401	0.668765	0.002925
402	0.668587	0.003043
403	0.668151	0.003143
404	0.668204	0.003128
405	0.667946	0.003270
406	0.668018	0.003268
407	0.667809	0.003273
408	0.667672	0.003327
409	0.667517	0.003543
410	0.667519	0.003664
411	0.667382	0.003434
412	0.666960	0.003453
413	0.667004	0.003877
414	0.666926	0.003635
415	0.666881	0.003702
416	0.666623	0.003604
417	0.666794	0.003734
418	0.666561	0.003839
419	0.666414	0.003823
420	0.666190	0.003904
421	0.666214	0.003876
422	0.666038	0.003663
423	0.666074	0.003873
424	0.665886	0.003772
425	0.665908	0.003821
426	0.665557	0.003918
427	0.665546	0.004046
428	0.665446	0.003773
429	0.665495	0.003997
430	0.665303	0.004111
431	0.665252	0.003891
432	0.665315	0.003986
433	0.665143	0.003847
434	0.665212	0.003917
435	0.665119	0.003931
436	0.664773	0.004034
437	0.664989	0.004013
438	0.664686	0.003925
439	0.664705	0.004143
440	0.664603	0.003922
441	0.664551	0.003859
442	0.664461	0.003767
443	0.664312	0.004111
444	0.664250	0.003894
445	0.664262	0.003846
446	0.663910	0.004021
447	0.663941	0.003844
448	0.663938	0.004025
449	0.663838	0.003764
450	0.663932	0.003815
451	0.663584	0.003893
452	0.663822	0.003867
453	0.663670	0.003938
454	0.663512	0.003862
455	0.663487	0.003806
456	0.663244	0.003936
457	0.663346	0.003628
458	0.663296	0.003863
459	0.663247	0.003814
460	0.663242	0.003571
461	0.663034	0.003808
462	0.663040	0.003829
463	0.662932	0.003670
464	0.662858	0.003852
465	0.662693	0.003886
466	0.662821	0.003830
467	0.662842	0.003875
468	0.662655	0.003768
469	0.662397	0.003823
470	0.662623	0.003578
471	0.662264	0.003813
472	0.662502	0.003725
473	0.662289	0.003804
474	0.662306	0.003822
475	0.662103	0.003733
476	0.662084	0.003629
477	0.661940	0.003880
478	0.662069	0.003641
479	0.661944	0.003705
480	0.661768	0.003866
481	0.661821	0.003758
482	0.661827	0.003780
483	0.661622	0.003717
484	0.661671	0.003607
485	0.661544	0.003607
486	0.661613	0.003494
487	0.661397	0.003529
488	0.661366	0.003712
489	0.661268	0.003485
490	0.661341	0.003573
491	0.661248	0.003757
492	0.661113	0.003699
493	0.660886	0.003767
494	0.660900	0.003589
495	0.660982	0.003667
496	0.660870	0.003525
497	0.660674	0.003318
498	0.660730	0.003624
499	0.660865	0.003456
500	0.660508	0.003651
501	0.660801	0.003466
502	0.660638	0.003540
503	0.660490	0.003452
504	0.660422	0.003543
505	0.660451	0.003465
506	0.660141	0.003653
507	0.660330	0.003450
508	0.660282	0.003497
509	0.660270	0.003381
510	0.660251	0.003355
511	0.660205	0.003490
512	0.660099	0.003275
513	0.660036	0.003467
514	0.659493	0.003423
515	0.659684	0.003471
516	0.659978	0.003236
517	0.659619	0.003256
518	0.659719	0.003257
519	0.659395	0.003411
520	0.659491	0.003219
521	0.659565	0.003282
522	0.659502	0.003286
523	0.659469	0.003288
524	0.659326	0.003389
525	0.659004	0.003551
526	0.659058	0.003219
527	0.659160	0.003154
528	0.659034	0.002980
529	0.659021	0.003180
530	0.658767	0.003185
531	0.658665	0.003301
532	0.658913	0.003172
533	0.658689	0.003184
534	0.658730	0.002974
535	0.658594	0.003056
536	0.658558	0.003119
537	0.658705	0.003107
538	0.658117	0.003117
539	0.658499	0.003115
540	0.658308	0.003133
541	0.658174	0.002802
542	0.658283	0.003032
543	0.658059	0.002993
544	0.658027	0.003115
545	0.658063	0.002882
546	0.657968	0.003125
547	0.658090	0.002994
548	0.657824	0.003134
549	0.657925	0.002937
550	0.657735	0.003132
551	0.657764	0.003035
552	0.657875	0.003099
553	0.657501	0.003072
554	0.657564	0.002953
555	0.657617	0.002916
556	0.657396	0.002845
557	0.657630	0.003091
