#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/generated/pure_states/negativity_(0.0, 0.1).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 6000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: sigmoid; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.25; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 67.5125%
#Sample standard deviation for averaged success rate: 0.37238667529531755%
#Same average success rate for supplementary tests: [0.6906340634063407, 0.8138113811381139, 0.8328032803280329, 0.8364686468646865, 0.8373387338733874]%
#Sample STD for averaged success rate in supplementary tests: [0.0016524331998542814, 0.0013847370586120165, 0.0014306159275577215, 0.0014424110470750745, 0.0014450745813862323]%
#Epoch	Loss	Sample STD
1	0.695850	0.001214
2	0.693363	0.000044
3	0.693304	0.000033
4	0.693323	0.000033
5	0.693238	0.000023
6	0.693280	0.000027
7	0.693205	0.000033
8	0.693170	0.000016
9	0.693196	0.000028
10	0.693133	0.000016
11	0.693105	0.000045
12	0.693101	0.000023
13	0.693066	0.000037
14	0.693099	0.000017
15	0.693115	0.000018
16	0.693055	0.000024
17	0.693075	0.000020
18	0.693027	0.000023
19	0.693047	0.000028
20	0.692986	0.000033
21	0.693036	0.000011
22	0.693023	0.000041
23	0.693015	0.000028
24	0.693011	0.000024
25	0.692971	0.000021
26	0.693010	0.000016
27	0.693012	0.000026
28	0.692962	0.000028
29	0.692995	0.000022
30	0.693016	0.000024
31	0.692969	0.000017
32	0.693004	0.000023
33	0.692949	0.000014
34	0.692967	0.000022
35	0.692965	0.000018
36	0.692929	0.000033
37	0.692993	0.000028
38	0.692985	0.000019
39	0.692914	0.000025
40	0.692931	0.000029
41	0.692951	0.000021
42	0.692943	0.000030
43	0.692971	0.000035
44	0.692949	0.000031
45	0.692991	0.000023
46	0.692975	0.000033
47	0.692970	0.000034
48	0.692966	0.000024
49	0.692950	0.000028
50	0.692961	0.000026
51	0.692909	0.000038
52	0.692948	0.000021
53	0.692935	0.000043
54	0.692938	0.000044
55	0.692935	0.000026
56	0.692929	0.000026
57	0.692939	0.000035
58	0.692919	0.000014
59	0.692929	0.000030
60	0.692913	0.000018
61	0.692929	0.000037
62	0.692901	0.000019
63	0.692879	0.000036
64	0.692958	0.000035
65	0.692913	0.000034
66	0.692927	0.000028
67	0.692908	0.000029
68	0.692936	0.000030
69	0.692893	0.000030
70	0.692891	0.000036
71	0.692880	0.000028
72	0.692887	0.000040
73	0.692881	0.000049
74	0.692867	0.000042
75	0.692909	0.000047
