#Tensor product hilbert space dimension: 4; Number of simulations: 2;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/generated/pure_states/negativity_(0.0, 0.1).txt;
#Architecture of the MLP: [16, 8, 4, 1]; Number of epochs: 1000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: sigmoid; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.5; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 54.337500000000006%
#Sample standard deviation for averaged success rate: 0.4012201578406997%
#Same average success rate for supplementary tests: [0.5445294529452945, 0.5596059605960596, 0.5838583858385838, 0.5912841284128413, 0.6047604760476047]%
#Sample STD for averaged success rate in supplementary tests: [0.0017818155267231963, 0.0017607389517246262, 0.0016831872152445774, 0.0016485526885122804, 0.0016507610093010724]%
#Epoch	Loss	Sample STD
1	0.693377	0.000020
2	0.693284	0.000017
3	0.693345	0.000087
4	0.693260	0.000039
5	0.693195	0.000018
6	0.693281	0.000067
7	0.693230	0.000085
8	0.693314	0.000042
9	0.693262	0.000029
10	0.693218	0.000008
11	0.693270	0.000057
12	0.693257	0.000016
13	0.693165	0.000035
14	0.693255	0.000012
15	0.693218	0.000031
16	0.693213	0.000004
17	0.693129	0.000023
18	0.693211	0.000003
19	0.693198	0.000014
20	0.693221	0.000058
21	0.693150	0.000005
22	0.693167	0.000005
23	0.693206	0.000049
24	0.693138	0.000030
25	0.693181	0.000011
26	0.693157	0.000049
27	0.693100	0.000040
28	0.693146	0.000043
29	0.693151	0.000047
30	0.693111	0.000022
31	0.693097	0.000051
32	0.693091	0.000032
33	0.693013	0.000079
34	0.693013	0.000058
35	0.693062	0.000028
36	0.693046	0.000019
37	0.692942	0.000064
38	0.693039	0.000077
39	0.692974	0.000030
40	0.692980	0.000092
41	0.693006	0.000027
42	0.693013	0.000077
43	0.692982	0.000018
44	0.693006	0.000102
45	0.693002	0.000027
46	0.693026	0.000038
47	0.693003	0.000033
48	0.693037	0.000058
49	0.693021	0.000068
50	0.693006	0.000053
51	0.692975	0.000020
52	0.692990	0.000047
53	0.692948	0.000004
54	0.692973	0.000053
55	0.692980	0.000073
56	0.692981	0.000045
57	0.692988	0.000115
58	0.692872	0.000029
59	0.692831	0.000006
60	0.692983	0.000122
61	0.692936	0.000129
62	0.692949	0.000030
63	0.692809	0.000155
64	0.692890	0.000024
65	0.692832	0.000023
66	0.692883	0.000162
67	0.692940	0.000030
68	0.692901	0.000081
69	0.692910	0.000113
70	0.692933	0.000077
71	0.692933	0.000158
72	0.692882	0.000047
73	0.692854	0.000031
74	0.692883	0.000093
75	0.692866	0.000053
76	0.692871	0.000107
77	0.692860	0.000112
78	0.692882	0.000136
79	0.692831	0.000072
80	0.692864	0.000109
81	0.692811	0.000094
82	0.692847	0.000130
83	0.692831	0.000120
84	0.692828	0.000133
85	0.692825	0.000108
86	0.692750	0.000091
87	0.692740	0.000056
88	0.692802	0.000151
89	0.692785	0.000149
90	0.692764	0.000124
91	0.692741	0.000107
92	0.692715	0.000124
93	0.692658	0.000100
94	0.692578	0.000259
95	0.692686	0.000154
96	0.692660	0.000153
97	0.692692	0.000179
98	0.692720	0.000214
99	0.692687	0.000195
100	0.692681	0.000186
101	0.692588	0.000124
102	0.692555	0.000095
103	0.692540	0.000268
104	0.692544	0.000119
105	0.692572	0.000198
106	0.692483	0.000153
107	0.692541	0.000207
108	0.692526	0.000228
109	0.692505	0.000256
110	0.692504	0.000215
111	0.692437	0.000194
112	0.692514	0.000290
113	0.692331	0.000178
114	0.692436	0.000245
115	0.692397	0.000318
116	0.692382	0.000315
117	0.692354	0.000297
118	0.692323	0.000261
119	0.692325	0.000253
120	0.692270	0.000349
121	0.692268	0.000291
122	0.692276	0.000295
123	0.692176	0.000241
124	0.692191	0.000293
125	0.692206	0.000300
126	0.692150	0.000294
127	0.692081	0.000273
128	0.692043	0.000293
129	0.692109	0.000350
130	0.692026	0.000377
131	0.692025	0.000359
132	0.691959	0.000382
133	0.691985	0.000390
134	0.691857	0.000359
135	0.691866	0.000409
136	0.691786	0.000427
137	0.691791	0.000459
138	0.691697	0.000386
139	0.691653	0.000468
140	0.691651	0.000554
141	0.691568	0.000494
142	0.691446	0.000564
143	0.691468	0.000491
144	0.691448	0.000584
145	0.691373	0.000605
146	0.691389	0.000637
147	0.691277	0.000588
148	0.691244	0.000697
149	0.691122	0.000624
150	0.691115	0.000703
151	0.691025	0.000669
152	0.690955	0.000748
153	0.690900	0.000687
154	0.690853	0.000769
155	0.690747	0.000819
156	0.690724	0.000840
157	0.690604	0.000831
158	0.690561	0.000892
159	0.690537	0.000882
160	0.690361	0.000818
161	0.690432	0.000949
162	0.690234	0.000947
163	0.690203	0.000889
164	0.690128	0.000983
165	0.690098	0.000951
166	0.689955	0.000953
167	0.689853	0.000906
168	0.689805	0.001073
169	0.689776	0.001073
170	0.689665	0.001087
171	0.689569	0.001143
172	0.689375	0.001132
173	0.689374	0.001221
174	0.689276	0.001268
175	0.689176	0.001313
176	0.689043	0.001335
177	0.689049	0.001402
178	0.688826	0.001482
179	0.688699	0.001478
180	0.688559	0.001682
181	0.688548	0.001575
182	0.688435	0.001764
183	0.688182	0.001626
184	0.688190	0.001827
185	0.688020	0.001820
186	0.687724	0.001801
187	0.687777	0.001984
188	0.687682	0.002039
189	0.687470	0.002069
190	0.687340	0.002164
191	0.687201	0.002157
192	0.687070	0.002232
193	0.686776	0.002108
194	0.686813	0.002327
195	0.686673	0.002326
196	0.686463	0.002352
197	0.686302	0.002411
198	0.686091	0.002387
199	0.686084	0.002421
200	0.685874	0.002389
201	0.685732	0.002425
