#Tensor product hilbert space dimension: 4; Number of simulations: 10;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/generated/pure_states/negativity_(0.1, 0.2).txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 2000; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: sigmoid; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.49; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 97.9175%
#Sample standard deviation for averaged success rate: 0.0914305662101021%
#Same average success rate for supplementary tests: [0.6614411441144115, 0.9840584058405841, 0.995129512951295, 0.9951495149514952, 0.9951545154515451]%
#Sample STD for averaged success rate in supplementary tests: [0.0027064752158361357, 0.00035400510183353895, 0.0001663417266982897, 0.00016607008446595313, 0.0001660020856226486]%
#Epoch	Loss	Sample STD
1	0.696450	0.002401
2	0.693251	0.000031
3	0.693242	0.000044
4	0.693211	0.000021
5	0.693145	0.000019
6	0.693100	0.000023
7	0.693086	0.000023
8	0.693048	0.000032
9	0.692963	0.000033
10	0.692965	0.000029
11	0.692947	0.000022
12	0.692933	0.000025
13	0.692888	0.000018
14	0.692802	0.000030
15	0.692832	0.000037
16	0.692774	0.000026
17	0.692736	0.000030
18	0.692749	0.000048
19	0.692739	0.000049
20	0.692729	0.000057
21	0.692669	0.000068
22	0.692621	0.000075
23	0.692587	0.000100
24	0.692578	0.000132
25	0.692511	0.000150
26	0.692469	0.000172
27	0.692388	0.000209
28	0.692267	0.000243
29	0.692193	0.000295
30	0.692102	0.000348
31	0.691952	0.000405
32	0.691812	0.000495
33	0.691672	0.000546
34	0.691580	0.000648
35	0.691382	0.000706
36	0.691228	0.000772
37	0.691012	0.000876
38	0.690782	0.000959
39	0.690572	0.001034
40	0.690381	0.001120
41	0.690134	0.001207
42	0.689902	0.001280
43	0.689634	0.001365
44	0.689370	0.001440
45	0.689070	0.001532
46	0.688822	0.001606
47	0.688517	0.001678
48	0.688155	0.001765
49	0.687908	0.001863
50	0.687608	0.001935
51	0.687316	0.002002
52	0.687000	0.002081
53	0.686679	0.002171
54	0.686351	0.002237
55	0.686047	0.002284
56	0.685699	0.002354
57	0.685373	0.002396
58	0.685013	0.002460
59	0.684694	0.002493
60	0.684310	0.002532
61	0.683881	0.002569
62	0.683527	0.002612
63	0.683153	0.002626
64	0.682725	0.002646
65	0.682297	0.002645
66	0.681867	0.002668
67	0.681410	0.002688
68	0.680912	0.002674
69	0.680335	0.002685
70	0.679883	0.002662
71	0.679351	0.002656
72	0.678787	0.002622
73	0.678285	0.002586
74	0.677782	0.002578
75	0.677250	0.002548
76	0.676705	0.002531
77	0.676203	0.002506
78	0.675768	0.002486
79	0.675246	0.002483
80	0.674780	0.002479
81	0.674349	0.002463
82	0.673893	0.002446
83	0.673511	0.002447
84	0.673071	0.002426
85	0.672681	0.002425
86	0.672232	0.002408
87	0.671891	0.002398
88	0.671410	0.002390
89	0.671007	0.002394
90	0.670565	0.002377
91	0.670157	0.002379
92	0.669676	0.002382
93	0.669262	0.002402
94	0.668795	0.002394
95	0.668355	0.002415
96	0.667929	0.002423
97	0.667488	0.002423
98	0.666986	0.002471
99	0.666554	0.002463
100	0.666139	0.002496
101	0.665633	0.002515
102	0.665100	0.002535
103	0.664716	0.002549
104	0.664293	0.002554
105	0.663826	0.002555
106	0.663425	0.002564
107	0.662945	0.002565
108	0.662563	0.002572
109	0.662119	0.002581
110	0.661674	0.002572
111	0.661220	0.002585
112	0.660809	0.002579
113	0.660393	0.002580
114	0.659947	0.002586
115	0.659432	0.002620
116	0.658985	0.002609
117	0.658547	0.002653
118	0.658155	0.002691
119	0.657680	0.002735
120	0.657227	0.002763
121	0.656838	0.002846
122	0.656419	0.002880
123	0.656047	0.002933
124	0.655657	0.002993
125	0.655317	0.003060
126	0.655006	0.003101
127	0.654581	0.003153
128	0.654204	0.003201
129	0.653919	0.003253
130	0.653514	0.003289
131	0.653259	0.003346
132	0.652936	0.003396
133	0.652598	0.003417
134	0.652246	0.003465
135	0.651928	0.003521
136	0.651641	0.003548
137	0.651291	0.003573
138	0.651022	0.003620
139	0.650729	0.003676
140	0.650429	0.003724
141	0.650093	0.003772
142	0.649747	0.003795
143	0.649522	0.003866
144	0.649176	0.003919
145	0.648851	0.003939
146	0.648583	0.004008
147	0.648265	0.004062
148	0.648025	0.004120
149	0.647768	0.004158
150	0.647451	0.004208
151	0.647210	0.004265
152	0.646929	0.004321
153	0.646679	0.004385
154	0.646399	0.004430
155	0.646124	0.004459
156	0.645909	0.004522
157	0.645617	0.004571
158	0.645402	0.004603
159	0.645053	0.004648
160	0.644920	0.004707
161	0.644601	0.004726
162	0.644315	0.004796
163	0.644184	0.004821
164	0.643896	0.004845
165	0.643643	0.004889
166	0.643456	0.004918
167	0.643214	0.004981
168	0.642921	0.004990
169	0.642718	0.005022
170	0.642513	0.005054
171	0.642283	0.005075
172	0.642019	0.005117
173	0.641795	0.005117
174	0.641580	0.005177
175	0.641333	0.005195
176	0.641113	0.005217
177	0.640831	0.005231
178	0.640694	0.005261
179	0.640430	0.005275
180	0.640127	0.005275
181	0.639964	0.005327
182	0.639693	0.005322
183	0.639474	0.005342
184	0.639185	0.005349
185	0.638978	0.005373
186	0.638773	0.005391
187	0.638559	0.005403
188	0.638311	0.005428
189	0.638008	0.005428
190	0.637738	0.005442
191	0.637466	0.005451
192	0.637262	0.005462
193	0.637022	0.005483
194	0.636760	0.005480
195	0.636411	0.005520
196	0.636117	0.005489
197	0.635937	0.005520
198	0.635611	0.005497
199	0.635283	0.005512
200	0.635054	0.005526
201	0.634776	0.005524
202	0.634531	0.005527
203	0.634148	0.005554
204	0.633807	0.005555
205	0.633525	0.005566
206	0.633272	0.005571
207	0.632920	0.005573
208	0.632534	0.005570
209	0.632317	0.005578
210	0.631906	0.005594
211	0.631613	0.005598
212	0.631252	0.005591
213	0.630780	0.005580
214	0.630506	0.005602
215	0.630191	0.005623
216	0.629855	0.005622
217	0.629498	0.005620
218	0.629084	0.005638
219	0.628638	0.005646
220	0.628331	0.005646
221	0.627842	0.005649
222	0.627565	0.005656
223	0.627126	0.005675
224	0.626610	0.005686
225	0.626228	0.005687
226	0.625726	0.005695
227	0.625384	0.005713
228	0.624927	0.005699
229	0.624423	0.005714
230	0.623951	0.005721
231	0.623508	0.005729
232	0.623066	0.005735
233	0.622438	0.005734
234	0.621991	0.005787
235	0.621561	0.005753
236	0.620940	0.005789
237	0.620409	0.005805
238	0.619859	0.005786
239	0.619373	0.005813
240	0.618811	0.005833
241	0.618257	0.005825
242	0.617654	0.005839
243	0.617009	0.005869
244	0.616418	0.005859
245	0.615820	0.005901
246	0.615272	0.005869
247	0.614520	0.005919
248	0.613971	0.005905
249	0.613263	0.005930
250	0.612675	0.005930
251	0.611987	0.005965
252	0.611240	0.005946
253	0.610528	0.005985
254	0.609815	0.006007
255	0.609114	0.005995
256	0.608391	0.006041
257	0.607718	0.006054
258	0.606855	0.006080
259	0.606071	0.006099
260	0.605260	0.006115
261	0.604428	0.006180
262	0.603702	0.006204
263	0.602900	0.006201
264	0.601972	0.006243
265	0.601171	0.006278
266	0.600188	0.006334
267	0.599366	0.006403
268	0.598486	0.006437
269	0.597508	0.006457
270	0.596549	0.006536
271	0.595602	0.006606
272	0.594624	0.006649
273	0.593698	0.006744
274	0.592685	0.006776
275	0.591602	0.006863
276	0.590458	0.006965
277	0.589576	0.007072
278	0.588485	0.007128
279	0.587462	0.007212
280	0.586422	0.007329
281	0.585319	0.007411
282	0.584265	0.007502
283	0.583035	0.007575
284	0.581940	0.007738
285	0.580877	0.007814
286	0.579681	0.007920
287	0.578724	0.008051
288	0.577352	0.008117
289	0.576337	0.008238
290	0.575035	0.008342
291	0.573814	0.008482
292	0.572658	0.008545
293	0.571502	0.008679
294	0.570196	0.008762
295	0.569066	0.008897
296	0.567812	0.009008
297	0.566544	0.009147
298	0.565318	0.009232
299	0.563994	0.009369
300	0.562856	0.009481
301	0.561521	0.009569
302	0.560229	0.009710
303	0.558820	0.009811
304	0.557643	0.009910
305	0.556278	0.010038
306	0.554901	0.010144
307	0.553495	0.010287
308	0.552147	0.010400
309	0.550936	0.010505
310	0.549505	0.010640
311	0.548056	0.010790
312	0.546735	0.010898
313	0.545259	0.010993
314	0.543970	0.011136
315	0.542458	0.011259
316	0.541040	0.011348
317	0.539589	0.011526
318	0.538197	0.011600
319	0.536780	0.011666
320	0.535546	0.011784
321	0.534039	0.011903
322	0.532441	0.012012
323	0.531060	0.012099
324	0.529521	0.012213
325	0.528039	0.012298
326	0.526662	0.012412
327	0.525148	0.012536
328	0.523689	0.012587
329	0.522123	0.012720
330	0.520668	0.012801
331	0.519172	0.012917
332	0.517731	0.012974
333	0.516362	0.013094
334	0.514738	0.013190
335	0.513219	0.013257
336	0.511705	0.013370
337	0.510067	0.013447
338	0.508663	0.013496
339	0.507187	0.013581
340	0.505554	0.013675
341	0.504272	0.013790
342	0.502563	0.013884
343	0.501188	0.013978
344	0.499611	0.014029
345	0.498112	0.014116
346	0.496615	0.014155
347	0.494881	0.014303
348	0.493496	0.014385
349	0.492054	0.014454
350	0.490498	0.014538
351	0.488953	0.014581
352	0.487640	0.014687
353	0.486006	0.014732
354	0.484469	0.014842
355	0.482997	0.014918
356	0.481440	0.014982
357	0.480089	0.015055
358	0.478485	0.015166
359	0.477020	0.015237
360	0.475463	0.015344
361	0.473865	0.015372
362	0.472479	0.015470
363	0.471018	0.015533
364	0.469461	0.015603
365	0.468078	0.015706
366	0.466570	0.015757
367	0.465062	0.015835
368	0.463607	0.015955
369	0.462281	0.016026
370	0.460721	0.016096
371	0.459345	0.016144
372	0.457917	0.016232
373	0.456220	0.016364
374	0.454825	0.016433
375	0.453392	0.016460
376	0.452099	0.016567
377	0.450703	0.016624
378	0.449264	0.016670
379	0.447776	0.016750
380	0.446454	0.016887
381	0.444875	0.016983
382	0.443541	0.017015
383	0.442244	0.017058
384	0.440795	0.017174
385	0.439699	0.017172
386	0.438193	0.017287
387	0.436785	0.017358
388	0.435380	0.017422
389	0.434155	0.017470
390	0.432631	0.017559
391	0.431242	0.017621
392	0.430103	0.017670
393	0.428714	0.017697
394	0.427329	0.017775
395	0.426110	0.017887
396	0.424888	0.017861
397	0.423491	0.017953
398	0.422182	0.018032
399	0.421050	0.018045
400	0.419707	0.018083
401	0.418300	0.018161
402	0.416991	0.018214
403	0.415760	0.018245
404	0.414510	0.018281
405	0.413038	0.018364
406	0.411884	0.018386
407	0.410709	0.018413
408	0.409440	0.018509
409	0.408158	0.018529
410	0.407054	0.018553
411	0.405493	0.018598
412	0.404321	0.018680
413	0.403195	0.018662
414	0.401990	0.018751
415	0.400735	0.018752
416	0.399435	0.018799
417	0.398305	0.018790
418	0.397121	0.018907
419	0.395880	0.018841
420	0.394564	0.018913
421	0.393449	0.018980
422	0.392215	0.018999
423	0.391114	0.019029
424	0.389938	0.019090
425	0.388663	0.019069
426	0.387290	0.019072
427	0.386287	0.019149
428	0.385036	0.019073
429	0.384073	0.019160
430	0.382847	0.019216
431	0.381604	0.019238
432	0.380491	0.019283
433	0.379340	0.019283
434	0.378039	0.019290
435	0.377007	0.019302
436	0.375795	0.019326
437	0.374617	0.019389
438	0.373420	0.019373
439	0.372373	0.019353
440	0.371407	0.019414
441	0.370021	0.019452
442	0.369010	0.019429
443	0.367779	0.019490
444	0.366767	0.019457
445	0.365722	0.019431
446	0.364632	0.019455
447	0.363341	0.019494
448	0.362384	0.019493
449	0.361262	0.019534
450	0.359967	0.019583
451	0.358798	0.019555
452	0.357906	0.019545
453	0.356791	0.019662
454	0.355585	0.019557
455	0.354493	0.019646
456	0.353338	0.019591
457	0.352146	0.019633
458	0.351158	0.019651
459	0.350182	0.019580
460	0.349046	0.019627
461	0.347930	0.019659
462	0.346744	0.019652
463	0.345653	0.019676
464	0.344704	0.019651
465	0.343370	0.019721
466	0.342466	0.019725
467	0.341507	0.019700
468	0.340140	0.019769
469	0.338929	0.019798
470	0.338122	0.019764
471	0.337007	0.019755
472	0.335973	0.019776
473	0.334756	0.019799
474	0.333754	0.019827
475	0.332735	0.019785
476	0.331534	0.019809
477	0.330696	0.019835
478	0.329379	0.019906
479	0.328399	0.019812
480	0.327280	0.019892
481	0.326291	0.019934
482	0.325049	0.019889
483	0.324054	0.019869
484	0.323061	0.019824
485	0.321953	0.019907
486	0.320826	0.019940
487	0.319879	0.019845
488	0.318703	0.019907
489	0.317464	0.019950
490	0.316452	0.019907
491	0.315427	0.019997
492	0.314517	0.019973
493	0.313364	0.020001
494	0.312285	0.019991
495	0.311213	0.020019
496	0.310185	0.020018
497	0.309058	0.019979
498	0.308030	0.020022
499	0.306837	0.020111
500	0.305908	0.020043
501	0.304853	0.020041
502	0.303886	0.020088
503	0.302823	0.020036
504	0.301875	0.020094
505	0.300645	0.020061
506	0.299526	0.020113
507	0.298571	0.020174
508	0.297413	0.020178
509	0.296282	0.020199
510	0.295202	0.020220
511	0.294163	0.020167
512	0.293207	0.020232
513	0.292260	0.020304
514	0.291396	0.020234
515	0.290145	0.020185
516	0.289206	0.020251
517	0.288271	0.020258
518	0.287179	0.020222
519	0.286158	0.020302
520	0.285164	0.020295
521	0.284407	0.020336
522	0.283205	0.020324
523	0.282307	0.020312
524	0.281121	0.020352
525	0.280253	0.020385
526	0.279087	0.020377
527	0.278324	0.020438
528	0.277574	0.020346
529	0.276335	0.020386
530	0.275429	0.020393
531	0.274276	0.020487
532	0.273355	0.020451
533	0.272516	0.020428
534	0.271481	0.020499
535	0.270473	0.020476
536	0.269765	0.020505
537	0.268689	0.020479
538	0.267784	0.020530
539	0.266773	0.020599
540	0.265839	0.020585
541	0.264753	0.020548
542	0.263852	0.020563
543	0.263115	0.020570
544	0.262061	0.020630
545	0.261174	0.020640
546	0.260304	0.020618
547	0.259492	0.020630
548	0.258586	0.020669
549	0.257461	0.020674
550	0.256669	0.020650
551	0.255734	0.020800
552	0.255106	0.020668
553	0.254160	0.020691
554	0.253021	0.020714
555	0.252433	0.020765
556	0.251267	0.020756
557	0.250596	0.020713
558	0.249740	0.020796
559	0.248841	0.020756
560	0.248017	0.020755
561	0.247023	0.020827
562	0.246159	0.020759
563	0.245489	0.020793
564	0.244565	0.020762
565	0.243483	0.020782
566	0.242869	0.020777
567	0.241922	0.020738
568	0.241106	0.020782
569	0.240037	0.020795
570	0.239397	0.020761
571	0.238397	0.020766
572	0.237686	0.020741
573	0.236851	0.020777
574	0.236172	0.020738
575	0.235375	0.020798
576	0.234709	0.020773
577	0.233478	0.020760
578	0.233167	0.020830
579	0.232167	0.020754
580	0.231526	0.020824
581	0.230575	0.020799
582	0.229611	0.020735
583	0.228906	0.020716
584	0.228062	0.020776
585	0.227610	0.020721
586	0.226811	0.020812
587	0.226035	0.020732
588	0.225250	0.020765
589	0.224390	0.020712
590	0.223713	0.020742
591	0.223035	0.020684
592	0.222363	0.020745
593	0.221486	0.020716
594	0.220798	0.020680
595	0.220193	0.020680
596	0.219164	0.020712
597	0.218522	0.020687
598	0.217858	0.020678
599	0.217117	0.020708
600	0.216388	0.020667
601	0.215554	0.020675
602	0.215083	0.020671
603	0.214350	0.020661
604	0.213543	0.020643
605	0.212864	0.020651
606	0.212005	0.020626
607	0.211434	0.020664
608	0.210600	0.020600
609	0.210039	0.020631
610	0.209448	0.020645
611	0.208747	0.020574
612	0.208053	0.020643
613	0.207184	0.020605
614	0.206811	0.020556
615	0.206071	0.020535
616	0.205333	0.020591
617	0.204754	0.020594
618	0.204132	0.020568
619	0.203305	0.020562
620	0.202869	0.020589
621	0.201956	0.020549
622	0.201531	0.020449
623	0.200843	0.020554
624	0.200201	0.020548
625	0.199622	0.020523
626	0.199044	0.020422
627	0.198381	0.020433
628	0.197814	0.020516
629	0.197039	0.020446
630	0.196638	0.020450
631	0.196095	0.020406
632	0.195327	0.020454
633	0.194861	0.020466
634	0.194186	0.020388
635	0.193596	0.020444
636	0.193097	0.020447
637	0.192320	0.020357
638	0.191841	0.020398
639	0.191042	0.020379
640	0.190458	0.020324
641	0.189802	0.020327
642	0.189272	0.020340
643	0.188641	0.020318
644	0.188191	0.020349
645	0.187791	0.020309
646	0.187130	0.020228
647	0.186511	0.020306
648	0.186122	0.020265
649	0.185304	0.020263
650	0.184855	0.020216
651	0.184225	0.020292
652	0.183652	0.020273
653	0.183355	0.020217
654	0.182603	0.020172
655	0.182151	0.020255
656	0.181665	0.020208
657	0.180931	0.020113
658	0.180552	0.020123
659	0.180059	0.020198
660	0.179492	0.020171
661	0.179029	0.020112
662	0.178565	0.020124
663	0.177694	0.020152
664	0.177627	0.020072
665	0.176957	0.020136
666	0.176504	0.020069
667	0.175892	0.020055
668	0.175362	0.020051
669	0.174745	0.020073
670	0.174437	0.020055
671	0.173628	0.020055
672	0.173292	0.019972
673	0.172898	0.020019
674	0.172396	0.019947
675	0.171860	0.019944
676	0.171420	0.019919
677	0.170831	0.019929
678	0.170546	0.019932
679	0.169997	0.019892
680	0.169633	0.019882
681	0.168962	0.019855
682	0.168474	0.019869
683	0.168099	0.019842
684	0.167525	0.019905
685	0.167342	0.019802
686	0.166706	0.019876
687	0.166230	0.019817
688	0.165873	0.019768
689	0.165273	0.019747
690	0.164722	0.019761
691	0.164580	0.019733
692	0.163927	0.019713
693	0.163473	0.019731
694	0.163044	0.019648
695	0.162532	0.019672
696	0.162243	0.019658
697	0.161590	0.019694
698	0.161334	0.019607
699	0.160818	0.019655
700	0.160310	0.019623
701	0.160067	0.019543
702	0.159627	0.019600
703	0.159193	0.019519
704	0.158744	0.019542
705	0.158324	0.019550
706	0.157837	0.019490
707	0.157470	0.019432
708	0.157020	0.019480
709	0.156885	0.019482
710	0.156256	0.019490
711	0.155767	0.019428
712	0.155338	0.019449
713	0.154936	0.019411
714	0.154528	0.019355
715	0.154244	0.019341
716	0.154076	0.019360
717	0.153289	0.019370
718	0.152936	0.019277
719	0.152806	0.019252
720	0.152128	0.019232
721	0.151807	0.019248
722	0.151508	0.019205
723	0.151122	0.019194
724	0.150732	0.019214
725	0.150169	0.019195
726	0.150079	0.019169
727	0.149430	0.019153
728	0.149048	0.019102
729	0.148710	0.019092
730	0.148598	0.019104
731	0.147998	0.019062
732	0.147720	0.019067
733	0.147478	0.018990
734	0.146773	0.019027
735	0.146590	0.018960
736	0.146327	0.018982
737	0.145731	0.018948
738	0.145634	0.018855
739	0.145083	0.018951
740	0.144749	0.018901
741	0.144375	0.018855
742	0.144292	0.018829
743	0.143847	0.018869
744	0.143401	0.018752
745	0.143296	0.018796
746	0.142666	0.018805
747	0.142386	0.018761
748	0.142125	0.018712
749	0.141557	0.018678
750	0.141576	0.018694
751	0.140930	0.018680
752	0.140709	0.018635
753	0.140326	0.018561
754	0.139947	0.018606
755	0.139721	0.018537
756	0.139384	0.018572
757	0.138994	0.018536
758	0.138831	0.018469
