#Tensor product hilbert space dimension: 4; Number of simulations: 5;
#Separable DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/received_from_DM/pure_states/separable.txt; Entangled DMs were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2_merge/input_data/received_from_DM/pure_states/entangled_1.txt;
#Architecture of the MLP: [16, 8, 1]; Number of epochs: 200; Fraction of DMs used for training: 0.8;
#Activation function in the hidden layers: sigmoid; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Batch size: 40; Test tolerance: 0.05; DMs were read with redundancy: False;
#Sucess rate averaged over every simulation and over every sample in the test set: 99.97999999999999%
#Sample standard deviation for averaged success rate: 3.531998372042015e-05%
#Same average success rate for supplementary tests: [0.49978997899789984, 0.5001100110011001, 0.51016101610161, 0.582008200820082, 0.7951595159515952]%
#Sample STD for averaged success rate in supplementary tests: [0.000987327996874988, 0.0009863318564984713, 0.0009542329916498344, 0.0007415006087298479, 0.00026493018799335095]%
#Epoch	Loss	Sample STD
1	0.697905	0.002199
2	0.693311	0.000062
3	0.693198	0.000042
4	0.693024	0.000094
5	0.692878	0.000153
6	0.692633	0.000258
7	0.692171	0.000551
8	0.691041	0.001276
9	0.688867	0.002998
10	0.684321	0.006643
11	0.676418	0.012903
12	0.663998	0.022378
13	0.645560	0.035781
14	0.621839	0.051653
15	0.595889	0.066421
16	0.571414	0.076908
17	0.548933	0.083760
18	0.528996	0.088048
19	0.511209	0.090635
20	0.495116	0.091899
21	0.480281	0.092451
22	0.466481	0.092620
23	0.454678	0.092631
24	0.444126	0.092457
25	0.434512	0.092242
26	0.425514	0.091878
27	0.416300	0.091322
28	0.407002	0.090615
29	0.397314	0.089817
30	0.387254	0.088922
31	0.376777	0.088024
32	0.366044	0.087218
33	0.354876	0.086365
34	0.343258	0.085425
35	0.331385	0.084389
36	0.318926	0.083264
37	0.306209	0.082069
38	0.293100	0.080758
39	0.279690	0.079520
40	0.266083	0.078368
41	0.252736	0.077282
42	0.239369	0.076311
43	0.225676	0.075406
44	0.211581	0.074391
45	0.197097	0.073336
46	0.182396	0.071939
47	0.167684	0.070014
48	0.152767	0.067461
49	0.138151	0.063501
50	0.123329	0.058275
